firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Adams,68
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Asotin,157
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Benton,728
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Chelan,433
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Clallam,702
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Clark,3086
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Columbia,14
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Cowlitz,1034
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Douglas,179
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Ferry,40
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Franklin,200
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Garfield,6
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Grant,370
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Grays Harbor,895
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Island,777
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Jefferson,289
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,King,12543
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Kitsap,2547
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Kittitas,180
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Klickitat,160
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Lewis,737
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Lincoln,60
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Mason,650
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Okanogan,279
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Pacific,303
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Pend Oreille,86
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Pierce,5548
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,San Juan,149
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Skagit,996
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Skamania,129
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Snohomish,5546
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Spokane,2007
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Stevens,184
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Thurston,2618
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Wahkiakum,66
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Walla Walla,140
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Whatcom,1570
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Whitman,81
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,county,Yakima,930
Warren,E. Hanson,Warren E. Hanson,D,D,U. S. Senator,,,state,Washington,46487
Patty,Murray,Patty Murray,D,D,U. S. Senator,,,county,Adams,663
Patty,Murray,Patty Murray,D,D,U. S. Senator,,,county,Asotin,1594
Patty,Murray,Patty Murray,D,D,U. S. Senator,,,county,Benton,9007
Patty,Murray,Patty Murray,D,D,U. S. Senator,,,county,Chelan,5008
