county,precinct,office,district,party,candidate,votes,machine,hand
Kittias,49-CANYON,,,,Ballots ,63,55,55
Kittias,1-CLE ELUM 1,,,,Ballots ,116,96,96
Kittias,2-CLE ELUM 2,,,,Ballots ,96,87,87
Kittias,3-CLE ELUM 3,,,,Ballots ,57,46,46
Kittias,4-CLE ELUM 4,,,,Ballots ,166,152,152
Kittias,57-CLIFFDELL (vbm),,,,Ballots ,,,0
Kittias,58-DAMMAN,,,,Ballots ,220,183,183
Kittias,5-DENMARK,,,,Ballots ,229,185,185
Kittias,43-DRY CREEK,,,,Ballots ,209,167,167
Kittias,6-EAST SANDERS,,,,Ballots ,177,144,144
Kittias,7-EASTON,,,,Ballots ,169,146,146
Kittias,8-ELLENSBURG 1,,,,Ballots ,72,63,63
Kittias,9-ELLENSBURG 2,,,,Ballots ,75,65,65
Kittias,10-ELLENSBURG 3,,,,Ballots ,45,37,37
Kittias,11-ELLENSBURG 4,,,,Ballots ,70,64,64
Kittias,12-ELLENSBURG 5,,,,Ballots ,98,87,87
Kittias,13-ELLENSBURG 6,,,,Ballots ,71,58,58
Kittias,14-ELLENSBURG 7,,,,Ballots ,67,58,58
Kittias,15-ELLENSBURG 8,,,,Ballots ,87,71,70
Kittias,16-ELLENSBURG 9,,,,Ballots ,80,68,68
Kittias,17-ELLENSBURG 10,,,,Ballots ,112,104,104
Kittias,18-ELLENSBURG 11,,,,Ballots ,126,114,114
Kittias,19-ELLENSBURG 12,,,,Ballots ,97,86,86
Kittias,20-ELLENSBURG 13,,,,Ballots ,104,82,82
Kittias,21-ELLENSBURG 14,,,,Ballots ,84,76,76
Kittias,22-ELLENSBURG 15,,,,Ballots ,188,173,173
Kittias,23-ELLENSBURG 16,,,,Ballots ,153,129,129
Kittias,24-ELLENSBURG 17,,,,Ballots ,244,203,201
Kittias,25-ELLENSBURG 18,,,,Ballots ,91,78,77
Kittias,26-ELLENSBURG 19,,,,Ballots ,460,405,405
Kittias,27-ELLENSBURG 20,,,,Ballots ,86,76,76
Kittias,28-ELLENSBURG 21,,,,Ballots ,108,86,86
