ElectionID	ElectionDate	Description	ElectionTypeID
45	1966-11-01 00:00:00	1966 General	1
46	1966-09-01 00:00:00	1966 Primary	2
47	1964-11-01 00:00:00	1964 General	1
48	1964-09-01 00:00:00	1964 Primary	2
49	1962-11-01 00:00:00	1962 General	1
50	1962-09-01 00:00:00	1962 Primary	2
51	1960-11-01 00:00:00	1960 General	1
52	1960-09-01 00:00:00	1960 Primary	2
53	2003-11-04 00:00:00	2003 General	1
54	1990-09-18 00:00:00	1990 Primary	2
55	1958-09-09 00:00:00	1958 Primary	2
56	1958-11-04 00:00:00	1958 General	1
57	1956-09-11 00:00:00	1956 Primary	2
58	1956-11-06 00:00:00	1956 General	1
59	1954-09-14 00:00:00	1954 Primary	2
60	1954-11-02 00:00:00	1954 General	1
61	1952-09-09 00:00:00	1952 Primary	2
62	1952-11-04 00:00:00	1952 General	1
63	1950-11-07 00:00:00	1950 General	1
64	1946-11-05 00:00:00	1946 General	1
65	1946-07-09 00:00:00	1946 July Primary	2
66	2004-09-21 00:00:00	2004 Primary	2
67	2004-11-09 00:00:00	2004 General	1
68	1942-11-03 00:00:00	1942 General	1
69	1936-11-03 00:00:00	1936 General	1
70	1992-09-15 00:00:00	1992 Primary	2
71	1988-09-20 00:00:00	1988 Primary	2
72	1978-09-19 00:00:00	1978 Primary	2
73	1980-09-16 00:00:00	1980 Primary	2
74	1982-09-16 00:00:00	1982 Primary	2
75	1983-10-11 00:00:00	1983 October Special Senate Primary	2
76	1970-09-15 00:00:00	1970 Primary	2
77	1996-03-26 00:00:00	1996 Presidential Primary	
78	1992-05-19 00:00:00	1992 Presidential Primary	
79	1972-09-19 00:00:00	1972 Primary	2
80	1984-09-18 00:00:00	1984 Primary	2
81	1976-09-21 00:00:00	1976 Primary	2
82	1975-09-16 00:00:00	1975 Primary	2
83	1974-09-17 00:00:00	1974 Primary	2
84	1986-09-16 00:00:00	1986 Primary	2
85	1993-09-14 00:00:00	1993 Primary	2
86	2001-09-18 00:00:00	2001 Primary	2
87	2003-09-16 00:00:00	2003 Primary	2
88	1991-09-17 00:00:00	1991 Primary	2
89	1977-09-20 00:00:00	1977 Primary	2
90	1942-09-08 00:00:00	1942 Primary	2
91	1940-09-10 00:00:00	1940 Primary	2
92	1940-11-05 00:00:00	1940 General	1
93	1944-07-11 00:00:00	1944 July Primary	2
94	1944-11-07 00:00:00	1944 General	1
95	1948-11-02 00:00:00	1948 General	1
96	1938-09-13 00:00:00	1938 Primary	2
97	1938-11-08 00:00:00	1938 General	1
98	1936-09-08 00:00:00	1936 Primary	2
99	1934-09-11 00:00:00	1934 Primary	2
100	1934-11-06 00:00:00	1934 General	1
101	1932-09-13 00:00:00	1932 Primary	2
102	1932-11-08 00:00:00	1932 General	1
103	1930-11-04 00:00:00	1930 General	1
104	1930-09-09 00:00:00	1930 Primary	2
105	1928-09-11 00:00:00	1928 Primary	2
106	1928-11-06 00:00:00	1928 General	1
107	1926-09-14 00:00:00	1926 Primary	2
108	1926-11-02 00:00:00	1926 General	1
109	1923-06-19 00:00:00	1923 June Special Primary	2
110	1923-09-25 00:00:00	1923 Special Election	3
111	1924-09-09 00:00:00	1924 Primary	2
112	1924-11-04 00:00:00	1924 General	1
113	1922-09-12 00:00:00	1922 Primary	2
114	1922-11-07 00:00:00	1922 General	1
115	1920-09-14 00:00:00	1920 Primary	2
116	1920-11-02 00:00:00	1920 General	1
117	1918-09-10 00:00:00	1918 Primary	2
118	1918-11-05 00:00:00	1918 General	1
119	1916-09-12 00:00:00	1916 Primary	2
120	1916-11-07 00:00:00	1916 General	1
121	2005-09-20 00:00:00	2005 Primary	2
122	1914-09-08 00:00:00	1914 Primary	2
123	1914-11-03 00:00:00	1914 General	1
124	1912-09-10 00:00:00	1912 Primary	2
125	1912-11-05 00:00:00	1912 General	1
126	1910-09-13 00:00:00	1910 Primary	2
127	1910-11-08 00:00:00	1910 General	1
128	1908-09-08 00:00:00	1908 Primary	2
129	1908-11-03 00:00:00	1908 General	1
130	1906-11-06 00:00:00	1906 General	1
131	1904-11-08 00:00:00	1904 General	1
132	1900-11-06 00:00:00	1900 General	1
133	1950-09-12 00:00:00	1950 Primary	2
134	2006-11-07 00:00:00	2006 General	1
135	2005-11-08 00:00:00	2005 General	1
136	2006-09-19 00:00:00	2006 Primary	2
137	1898-11-08 00:00:00	1898 General	1
