ElectionID	ElectionDate	Description	ElectionTypeID
1	2002-09-17 00:00:00	2002 Primary	2
2	1989-11-01 00:00:00	1989 General	1
3	1992-11-01 00:00:00	1992 General	1
4	2002-11-05 00:00:00	2002 General	1
5	1997-09-01 00:00:00	1997 Primary	2
6	1997-11-01 00:00:00	1997 General	1
7	1999-09-01 00:00:00	1999 Primary	2
8	1999-11-01 00:00:00	1999 General	1
9	1998-09-01 00:00:00	1998 Primary	2
10	1998-11-01 00:00:00	1998 General	1
11	1997-06-01 00:00:00	1997 Special	3
12	1995-09-01 00:00:00	1995 Primary	2
13	1995-11-01 00:00:00	1995 General	1
14	1994-09-01 00:00:00	1994 Primary	2
15	1994-11-01 00:00:00	1994 General	1
16	1996-09-01 00:00:00	1996 Primary	2
17	1996-11-01 00:00:00	1996 General	1
18	2000-09-01 00:00:00	2000 Primary	2
19	2000-02-29 00:00:00	2000 Presidential Primary	2
20	2000-11-04 00:00:00	2000 General	1
21	2001-11-01 00:00:00	2001 General	1
22	1993-11-01 00:00:00	1993 General	1
23	1991-11-01 00:00:00	1991 General	1
24	1990-11-01 00:00:00	1990 General	1
25	1988-11-01 00:00:00	1988 General	1
26	1987-11-01 00:00:00	1987 General	1
27	1986-11-01 00:00:00	1986 General	1
28	1985-11-01 00:00:00	1985 General	1
29	1984-11-01 00:00:00	1984 General	1
30	1983-11-01 00:00:00	1983 General	1
31	1982-11-01 00:00:00	1982 General	1
32	1981-11-01 00:00:00	1981 General	1
33	1980-11-01 00:00:00	1980 General	1
34	1979-11-01 00:00:00	1979 General	1
35	1978-11-01 00:00:00	1978 General	1
36	1977-11-01 00:00:00	1977 General	1
37	1975-11-01 00:00:00	1975 General	1
38	1976-11-01 00:00:00	1976 General	1
39	1974-11-01 00:00:00	1974 General	1
40	1973-11-01 00:00:00	1973 General	1
41	1972-11-01 00:00:00	1972 General	1
42	1970-11-01 00:00:00	1970 General	1
43	1968-11-01 00:00:00	1968 General	1
44	1968-09-01 00:00:00	1968 Primary	2
