OfficeID	ElectionID	TotalVotes
110	1	16197
118	10	24307
869	51	147325
985	61	668239
166	64	33879
689	106	256859
590	38	1340560
91	35	26482
132	57	6952
96	108	3607
184	67	42052
739	44	19484
182	70	26568
172	114	1218
190	79	11420
217	54	11518
115	62	35522
989	20	16118
167	41	22335
97	97	16406
105	94	8303
953	48	691713
202	25	43939
194	16	19959
176	20	41924
175	50	12957
406	9	84820
218	43	21143
394	136	187855
84	3	45953
166	52	24749
227	29	37917
198	24	11048
867	116	60074
183	59	7035
211	4	38016
184	29	35462
129	58	17287
875	94	13726
761	16	116178
154	118	350
490	24	1255449
150	16	30133
149	76	12242
90	65	4069
79	120	20031
219	20	50858
74	47	19008
861	43	182322
420	80	63078
160	9	15713
960	80	788697
192	45	12856
173	84	7792
25	58	11455
168	42	22372
227	66	23544
205	120	29026
114	92	22398
82	56	36161
5	80	4683
109	31	22913
868	62	147350
144	3	49834
199	89	9647
116	20	30216
7	16	1116567
208	68	16641
124	29	31521
123	59	34333
522	41	2199974
115	50	13298
114	66	18087
176	27	31736
953	41	1304051
189	102	10939
100	14	27556
99	44	11853
73	51	15936
180	123	3161
190	72	5135
106	83	9379
863	52	98960
98	74	14196
72	81	10962
209	38	30453
107	41	28361
104	67	38772
209	14	17122
140	134	28635
857	46	114236
868	55	68146
435	116	3164
172	133	31254
864	9	133421
872	18	118653
147	79	18877
140	97	42765
77	123	7905
148	106	9590
115	43	10675
877	91	11115
688	98	333323
130	24	12393
159	39	23483
194	35	14549
218	50	20564
99	25	30927
214	136	20759
680	66	9694
390	10	327982
90	39	14774
953	17	2085955
198	81	14076
126	38	25143
202	44	14828
101	17	43789
143	33	46674
126	26	20605
772	95	904058
184	10	42346
861	50	67448
106	57	18896
228	30	28120
110	20	44535
109	50	19905
176	1	20702
175	31	32018
101	41	27428
123	52	10885
5	30	6720
127	15	36015
165	94	9031
102	18	31363
184	17	47108
614	103	232077
114	73	11334
112	133	28086
82	134	36391
117	59	3797
432	66	9602
35	120	344562
181	100	18180
166	71	12253
110	27	23465
187	3	57741
106	64	19021
861	62	169414
865	29	235270
123	45	16453
132	95	8331
88	118	7007
149	83	12033
139	74	12072
34	25	6342
219	39	17134
218	69	30850
194	42	21938
199	58	19016
143	14	30107
669	105	9420
215	76	12682
157	92	39271
216	46	11610
869	101	52848
955	33	1581489
878	38	1438099
138	81	17633
73	70	20721
239	108	6829
132	107	4113
33	20	110318
197	118	6372
217	4	35216
94	9	16148
667	41	1188462
202	51	46387
91	16	26955
82	49	38313
428	66	5324
90	46	10492
81	79	16557
145	120	4827
189	133	5235
428	20	8705
154	92	30253
221	66	26740
187	10	37103
216	27	27482
143	64	29513
106	38	29161
71	54	12736
864	123	78853
416	1	44538
175	100	19110
720	20	84466
181	43	20734
221	17	37369
107	3	28811
171	4	28628
72	31	30986
166	14	10358
109	57	22520
124	15	31992
933	2	973370
123	33	39504
215	50	18391
222	6	32880
178	24	24147
144	41	32473
124	3	42165
177	54	11688
136	134	45606
72	43	27168
160	59	6793
521	38	1383002
100	71	21268
149	103	6070
126	45	19300
82	106	17027
162	18	15465
88	49	18489
107	27	26614
144	66	13974
207	67	63828
953	98	379698
857	103	78899
215	57	34482
126	76	14842
72	24	29171
115	100	13091
180	97	12116
