ElectionID	ElectionDate	Description	ElectionTypeID
1	9/17/2002	2002 Primary	2
2	11/1/1989	1989 General	1
3	11/1/1992	1992 General	1
4	11/5/2002	2002 General	1
5	9/1/1997	1997 Primary	2
6	11/1/1997	1997 General	1
7	9/1/1999	1999 Primary	2
8	11/1/1999	1999 General	1
9	9/1/1998	1998 Primary	2
10	11/1/1998	1998 General	1
11	6/1/1997	1997 Special	3
12	9/1/1995	1995 Primary	2
13	11/1/1995	1995 General	1
14	9/1/1994	1994 Primary	2
15	11/1/1994	1994 General	1
16	9/1/1996	1996 Primary	2
17	11/1/1996	1996 General	1
18	9/19/2000	2000 Primary	2
19	2/29/2000	2000 Presidential Primary	2
20	11/7/2000	2000 General	1
21	11/6/2001	2001 General	1
22	11/1/1993	1993 General	1
23	11/1/1991	1991 General	1
24	11/1/1990	1990 General	1
25	11/1/1988	1988 General	1
26	11/1/1987	1987 General	1
27	11/1/1986	1986 General	1
28	11/1/1985	1985 General	1
29	11/1/1984	1984 General	1
30	11/1/1983	1983 General	1
31	11/1/1982	1982 General	1
32	11/1/1981	1981 General	1
33	11/1/1980	1980 General	1
34	11/1/1979	1979 General	1
35	11/1/1978	1978 General	1
36	11/1/1977	1977 General	1
37	11/1/1975	1975 General	1
38	11/1/1976	1976 General	1
39	11/1/1974	1974 General	1
40	11/1/1973	1973 General	1
41	11/1/1972	1972 General	1
42	11/1/1970	1970 General	1
43	11/1/1968	1968 General	1
44	9/1/1968	1968 Primary	2
45	11/1/1966	1966 General	1
46	9/1/1966	1966 Primary	2
47	11/1/1964	1964 General	1
48	9/1/1964	1964 Primary	2
49	11/1/1962	1962 General	1
50	9/1/1962	1962 Primary	2
51	11/1/1960	1960 General	1
52	9/1/1960	1960 Primary	2
53	11/4/2003	2003 General	1
54	9/18/1990	1990 Primary	2
55	9/9/1958	1958 Primary	2
56	11/4/1958	1958 General	1
57	9/11/1956	1956 Primary	2
58	11/6/1956	1956 General	1
59	9/14/1954	1954 Primary	2
60	11/2/1954	1954 General	1
61	9/9/1952	1952 Primary	2
62	11/4/1952	1952 General	1
63	11/7/1950	1950 General	1
64	11/5/1946	1946 General	1
65	7/9/1946	1946 July Primary	2
66	9/14/2004	2004 Primary	2
67	11/2/2004	2004 General	1
68	11/3/1942	1942 General	1
69	11/3/1936	1936 General	1
70	9/15/1992	1992 Primary	2
71	9/20/1988	1988 Primary	2
72	9/19/1978	1978 Primary	2
73	9/16/1980	1980 Primary	2
74	9/16/1982	1982 Primary	2
75	10/11/1983	1983 October Special Senate Primary	2
76	9/15/1970	1970 Primary	2
77	3/26/1996	1996 Presidential Primary	NULL
78	5/19/1992	1992 Presidential Primary	NULL
79	9/19/1972	1972 Primary	2
80	9/18/1984	1984 Primary	2
81	9/21/1976	1976 Primary	2
82	9/16/1975	1975 Primary	2
83	9/17/1974	1974 Primary	2
84	9/16/1986	1986 Primary	2
85	9/14/1993	1993 Primary	2
86	9/18/2001	2001 Primary	2
87	9/16/2003	2003 Primary	2
88	9/17/1991	1991 Primary	2
89	9/20/1977	1977 Primary	2
90	9/8/1942	1942 Primary	2
91	9/10/1940	1940 Primary	2
92	11/5/1940	1940 General	1
93	7/11/1944	1944 July Primary	2
94	11/7/1944	1944 General	1
95	11/2/1948	1948 General	1
96	9/13/1938	1938 Primary	2
97	11/8/1938	1938 General	1
98	9/8/1936	1936 Primary	2
99	9/11/1934	1934 Primary	2
100	11/6/1934	1934 General	1
101	9/13/1932	1932 Primary	2
102	11/8/1932	1932 General	1
103	11/4/1930	1930 General	1
104	9/9/1930	1930 Primary	2
105	9/11/1928	1928 Primary	2
106	11/6/1928	1928 General	1
107	9/14/1926	1926 Primary	2
108	11/2/1926	1926 General	1
109	6/19/1923	1923 June Special Primary	2
110	9/25/1923	1923 Special Election	3
111	9/9/1924	1924 Primary	2
112	11/4/1924	1924 General	1
113	9/12/1922	1922 Primary	2
114	11/7/1922	1922 General	1
115	9/14/1920	1920 Primary	2
116	11/2/1920	1920 General	1
117	9/10/1918	1918 Primary	2
118	11/5/1918	1918 General	1
119	9/12/1916	1916 Primary	2
120	11/7/1916	1916 General	1
121	9/20/2005	2005 Primary	2
122	9/8/1914	1914 Primary	2
123	11/3/1914	1914 General	1
124	9/10/1912	1912 Primary	2
125	11/5/1912	1912 General	1
126	9/13/1910	1910 Primary	2
127	11/8/1910	1910 General	1
128	9/8/1908	1908 Primary	2
129	11/3/1908	1908 General	1
130	11/6/1906	1906 General	1
131	11/8/1904	1904 General	1
132	11/6/1900	1900 General	1
133	9/12/1950	1950 Primary	2
134	11/7/2006	2006 General	1
135	11/8/2005	2005 General	1
136	9/19/2006	2006 Primary	2
137	1898-11-08 00:00:00.000	1898 General	1
