firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Christine,Quinn-Brintnall,Christine Quinn-Brintnall,N,N,Court of Appeals Division II District #1,Position #3,,county,Pierce,57733
Christine,Quinn-Brintnall,Christine Quinn-Brintnall,N,N,Court of Appeals Division II District #1,Position #3,,state,Washington,57733
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Clallam,10754
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Grays Harbor,9436
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Jefferson,6469
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Kitsap,36701
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Mason,6468
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,county,Thurston,33698
David,H. Armstrong,David H. Armstrong,N,N,Court of Appeals Division II District #2,Position #2,,state,Washington,103526
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Clark,23024
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Cowlitz,5993
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Lewis,5995
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Pacific,1126
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Skamania,1090
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,county,Wahkiakum,234
Brent,D. Boger,Brent D. Boger,N,N,Court of Appeals Division II District #3,Position #1,,state,Washington,37462
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Clark,26359
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Cowlitz,7797
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Lewis,4933
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Pacific,4742
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Skamania,787
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,county,Wahkiakum,923
Joel,Penoyar,Joel Penoyar,N,N,Court of Appeals Division II District #3,Position #1,,state,Washington,45541
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Ferry,888
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Lincoln,1803
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Okanogan,3638
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Pend Oreille,2176
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Spokane,72872
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,county,Stevens,5919
John,A. Schultheis,John A. Schultheis,N,N,Court of Appeals Division III District #1,Position #1,,state,Washington,87296
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,county,Chelan,8779
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,county,Douglas,5131
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,county,Kittitas,4256
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,county,Klickitat,2286
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,county,Yakima,19643
Teresa,C. Kulik,Teresa C. Kulik,N,N,Court of Appeals Division III District #3,Position #2,,state,Washington,40095
Mike,Sullivan,Mike Sullivan,N,N,"Superior Ct Judge Pacific, Wahkiakum",Position #1,,county,Pacific,4101
Mike,Sullivan,Mike Sullivan,N,N,"Superior Ct Judge Pacific, Wahkiakum",Position #1,,county,Wahkiakum,848
Mike,Sullivan,Mike Sullivan,N,N,"Superior Ct Judge Pacific, Wahkiakum",Position #1,,state,Washington,4949
