county,precinct,office,district,party,candidate,total,poll,absentee,vbm
Kittias,49-CANYON,,,,Registration,175,,,
Kittias,1-CLE ELUM 1,,,,Registration,304,,,
Kittias,2-CLE ELUM 2,,,,Registration,231,,,
Kittias,3-CLE ELUM 3,,,,Registration,136,,,
Kittias,4-CLE ELUM 4,,,,Registration,386,,,
Kittias,57-CLIFFDELL,,,,Registration,0,,,TRUE
Kittias,58-DAMMAN,,,,Registration,439,,,
Kittias,5-DENMARK,,,,Registration,551,,,
Kittias,43-DRY CREEK,,,,Registration,534,,,
Kittias,6-EAST SANDERS,,,,Registration,448,,,
Kittias,7-EASTON,,,,Registration,543,,,
Kittias,8-ELLENSBURG 1,,,,Registration,189,,,
Kittias,9-ELLENSBURG 2,,,,Registration,195,,,
Kittias,10-ELLENSBURG 3,,,,Registration,99,,,
Kittias,11-ELLENSBURG 4,,,,Registration,143,,,
Kittias,12-ELLENSBURG 5,,,,Registration,237,,,
Kittias,13-ELLENSBURG 6,,,,Registration,155,,,
Kittias,14-ELLENSBURG 7,,,,Registration,166,,,
Kittias,15-ELLENSBURG 8,,,,Registration,203,,,
Kittias,16-ELLENSBURG 9,,,,Registration,172,,,
Kittias,17-ELLENSBURG 10,,,,Registration,245,,,
Kittias,18-ELLENSBURG 11,,,,Registration,263,,,
Kittias,19-ELLENSBURG 12,,,,Registration,217,,,
Kittias,20-ELLENSBURG 13,,,,Registration,204,,,
Kittias,21-ELLENSBURG 14,,,,Registration,187,,,
Kittias,22-ELLENSBURG 15,,,,Registration,357,,,
Kittias,23-ELLENSBURG 16,,,,Registration,332,,,
Kittias,24-ELLENSBURG 17,,,,Registration,567,,,
Kittias,25-ELLENSBURG 18,,,,Registration,252,,,
Kittias,26-ELLENSBURG 19,,,,Registration,1057,,,
Kittias,27-ELLENSBURG 20,,,,Registration,185,,,
Kittias,28-ELLENSBURG 21,,,,Registration,270,,,
Kittias,29-ELLENSBURG 22,,,,Registration,344,,,
Kittias,30-ELLENSBURG 23,,,,Registration,409,,,
Kittias,31-ELLENSBURG 24,,,,Registration,499,,,
Kittias,54-FAIRVIEW,,,,Registration,277,,,
Kittias,32-HYAK,,,,Registration,173,,,TRUE
Kittias,59-KACHESS,,,,Registration,232,,,TRUE
Kittias,33-KITTITAS 1,,,,Registration,246,,,
Kittias,60-KITTITAS 2,,,,Registration,354,,,
Kittias,34-MANASTASH,,,,Registration,402,,,
Kittias,35-MOUNTAIN,,,,Registration,475,,,
Kittias,36-NORTH CENTRAL,,,,Registration,462,,,
Kittias,37-NORTH ELLENSBURG,,,,Registration,400,,,
Kittias,55-NORTH EAST FAIRVIEW,,,,Registration,456,,,
Kittias,38-PARK,,,,Registration,449,,,
Kittias,39-PEOH POINT,,,,Registration,740,,,
Kittias,40-RIDGEWAY,,,,Registration,638,,,
Kittias,41-ROSLYN 1,,,,Registration,365,,,
Kittias,42-ROSLYN 2,,,,Registration,343,,,
Kittias,45-ROSLYN OUTLYING,,,,Registration,247,,,TRUE
Kittias,46-SANDERS,,,,Registration,252,,,
Kittias,47-SOUTH CLE ELUM,,,,Registration,358,,,
Kittias,48-SOUTH ELLENSBURG,,,,Registration,538,,,
Kittias,50-SWAUK,,,,Registration,265,,,
Kittias,51-TEANAWAY,,,,Registration,396,,,
Kittias,52-THORP,,,,Registration,547,,,
Kittias,56-THRALL,,,,Registration,447,,,
Kittias,53-VANTAGE,,,,Registration,58,,,TRUE
Kittias,,,,,Registration,19814,,,
Kittias,49-CANYON,,,,Ballots,126,63,63,
Kittias,1-CLE ELUM 1,,,,Ballots,247,116,131,
Kittias,2-CLE ELUM 2,,,,Ballots,177,96,81,
Kittias,3-CLE ELUM 3,,,,Ballots,111,57,54,
Kittias,4-CLE ELUM 4,,,,Ballots,306,166,140,
Kittias,57-CLIFFDELL,,,,Ballots,0,,,TRUE
Kittias,58-DAMMAN,,,,Ballots,390,220,170,
Kittias,5-DENMARK,,,,Ballots,473,229,244,
Kittias,43-DRY CREEK,,,,Ballots,458,209,249,
Kittias,6-EAST SANDERS,,,,Ballots,388,177,211,
Kittias,7-EASTON,,,,Ballots,409,169,240,
Kittias,8-ELLENSBURG 1,,,,Ballots,143,72,71,
Kittias,9-ELLENSBURG 2,,,,Ballots,153,75,78,
