county,precinct,office,district,party,candidate,total,poll,absentee
Franklin,1,President,,D,John Kerry,290,74,216
Franklin,2,President,,D,John Kerry,142,44,98
Franklin,3,President,,D,John Kerry,178,64,114
Franklin,4,President,,D,John Kerry,122,44,78
Franklin,5,President,,D,John Kerry,90,41,49
Franklin,6,President,,D,John Kerry,124,34,90
Franklin,7,President,,D,John Kerry,104,28,76
Franklin,8,President,,D,John Kerry,67,67,
Franklin,9,President,,D,John Kerry,42,42,
Franklin,10,President,,D,John Kerry,147,55,92
Franklin,11,President,,D,John Kerry,235,101,134
Franklin,12,President,,D,John Kerry,212,94,118
Franklin,13,President,,D,John Kerry,105,105,
Franklin,14,President,,D,John Kerry,129,42,87
Franklin,15,President,,D,John Kerry,83,83,
Franklin,16,President,,D,John Kerry,26,26,
Franklin,17,President,,D,John Kerry,62,62,
Franklin,18,President,,D,John Kerry,31,31,
Franklin,19,President,,D,John Kerry,52,52,
Franklin,20,President,,D,John Kerry,48,48,
Franklin,21,President,,D,John Kerry,43,43,
Franklin,22,President,,D,John Kerry,59,59,
Franklin,23,President,,D,John Kerry,153,53,100
Franklin,24,President,,D,John Kerry,202,67,135
Franklin,25,President,,D,John Kerry,40,40,
Franklin,26,President,,D,John Kerry,30,30,
Franklin,27,President,,D,John Kerry,25,25,
Franklin,28,President,,D,John Kerry,40,40,
Franklin,29,President,,D,John Kerry,297,80,217
Franklin,30,President,,D,John Kerry,91,16,75
Franklin,31,President,,D,John Kerry,206,40,166
Franklin,32,President,,D,John Kerry,213,78,135
Franklin,33,President,,D,John Kerry,172,59,113
Franklin,34,President,,D,John Kerry,2,2,
Franklin,35,President,,D,John Kerry,18,18,
Franklin,36,President,,D,John Kerry,63,63,
Franklin,37,President,,D,John Kerry,72,72,
Franklin,38,President,,D,John Kerry,39,10,29
Franklin,39,President,,D,John Kerry,32,7,25
Franklin,40,President,,D,John Kerry,64,21,43
Franklin,41,President,,D,John Kerry,114,43,71
Franklin,42,President,,D,John Kerry,78,25,53
Franklin,43,President,,D,John Kerry,48,14,34
Franklin,44,President,,D,John Kerry,38,38,
Franklin,45,President,,D,John Kerry,37,37,
Franklin,46,President,,D,John Kerry,37,37,
Franklin,47,President,,D,John Kerry,73,73,
Franklin,48,President,,D,John Kerry,44,44,
Franklin,49,President,,D,John Kerry,12,12,
Franklin,50,President,,D,John Kerry,12,12,
Franklin,51,President,,D,John Kerry,12,12,
Franklin,52,President,,D,John Kerry,10,10,
Franklin,53,President,,D,John Kerry,7,7,
Franklin,54,President,,D,John Kerry,47,47,
Franklin,55,President,,D,John Kerry,14,14,
Franklin,56,President,,D,John Kerry,19,19,
Franklin,57,President,,D,John Kerry,32,32,
Franklin,58,President,,D,John Kerry,20,20,
Franklin,59,President,,D,John Kerry,15,15,
Franklin,60,President,,D,John Kerry,17,17,
Franklin,61,President,,D,John Kerry,9,9,
Franklin,62,President,,D,John Kerry,33,33,
Franklin,63,President,,D,John Kerry,18,18,
Franklin,64,President,,D,John Kerry,69,38,31
Franklin,65,President,,D,John Kerry,14,11,3
Franklin,66,President,,D,John Kerry,48,24,24
Franklin,67,President,,D,John Kerry,65,23,42
Franklin,68,President,,D,John Kerry,10,10,
Franklin,69,President,,D,John Kerry,9,9,
Franklin,70,President,,D,John Kerry,15,15,
Franklin,71,President,,D,John Kerry,6,6,
Franklin,72,President,,D,John Kerry,17,17,
Franklin,73,President,,D,John Kerry,33,33,
Franklin,74,President,,D,John Kerry,6,6,
Franklin,75,President,,D,John Kerry,0,0,
Franklin,,President,,D,John Kerry,5188,2740,2448
Franklin,1,President,,R,George Bush,211,46,165
Franklin,2,President,,R,George Bush,87,19,68
Franklin,3,President,,R,George Bush,102,37,65
Franklin,4,President,,R,George Bush,112,54,58
Franklin,5,President,,R,George Bush,62,24,38
Franklin,6,President,,R,George Bush,112,28,84
Franklin,7,President,,R,George Bush,71,19,52
Franklin,8,President,,R,George Bush,147,147,
Franklin,9,President,,R,George Bush,58,58,
Franklin,10,President,,R,George Bush,170,74,96
Franklin,11,President,,R,George Bush,201,82,119
Franklin,12,President,,R,George Bush,251,92,159
Franklin,13,President,,R,George Bush,102,102,
Franklin,14,President,,R,George Bush,214,95,119
Franklin,15,President,,R,George Bush,75,75,
Franklin,16,President,,R,George Bush,44,44,
Franklin,17,President,,R,George Bush,121,121,
Franklin,18,President,,R,George Bush,75,75,
Franklin,19,President,,R,George Bush,87,87,
Franklin,20,President,,R,George Bush,61,61,
Franklin,21,President,,R,George Bush,71,71,
Franklin,22,President,,R,George Bush,123,123,
Franklin,23,President,,R,George Bush,321,115,206
Franklin,24,President,,R,George Bush,410,122,288
Franklin,25,President,,R,George Bush,105,105,
Franklin,26,President,,R,George Bush,108,108,
Franklin,27,President,,R,George Bush,88,88,
Franklin,28,President,,R,George Bush,76,76,
Franklin,29,President,,R,George Bush,854,234,620
Franklin,30,President,,R,George Bush,180,37,143
Franklin,31,President,,R,George Bush,495,129,366
Franklin,32,President,,R,George Bush,416,173,243
Franklin,33,President,,R,George Bush,418,132,286
Franklin,34,President,,R,George Bush,8,8,
Franklin,35,President,,R,George Bush,46,46,
Franklin,36,President,,R,George Bush,167,167,
Franklin,37,President,,R,George Bush,168,168,
Franklin,38,President,,R,George Bush,114,22,92
Franklin,39,President,,R,George Bush,118,40,78
Franklin,40,President,,R,George Bush,180,77,103
Franklin,41,President,,R,George Bush,288,119,169
Franklin,42,President,,R,George Bush,199,68,131
Franklin,43,President,,R,George Bush,100,33,67
Franklin,44,President,,R,George Bush,136,136,
Franklin,45,President,,R,George Bush,98,98,
Franklin,46,President,,R,George Bush,179,179,
Franklin,47,President,,R,George Bush,158,158,
Franklin,48,President,,R,George Bush,235,235,
Franklin,49,President,,R,George Bush,47,47,
Franklin,50,President,,R,George Bush,84,84,
Franklin,51,President,,R,George Bush,97,97,
Franklin,52,President,,R,George Bush,110,110,
Franklin,53,President,,R,George Bush,134,134,
Franklin,54,President,,R,George Bush,223,223,
Franklin,55,President,,R,George Bush,81,81,
Franklin,56,President,,R,George Bush,131,131,
Franklin,57,President,,R,George Bush,69,69,
Franklin,58,President,,R,George Bush,121,121,
Franklin,59,President,,R,George Bush,84,84,
Franklin,60,President,,R,George Bush,44,44,
Franklin,61,President,,R,George Bush,108,108,
Franklin,62,President,,R,George Bush,51,51,
Franklin,63,President,,R,George Bush,152,152,
Franklin,64,President,,R,George Bush,130,70,60
Franklin,65,President,,R,George Bush,7,5,2
Franklin,66,President,,R,George Bush,134,60,74
Franklin,67,President,,R,George Bush,155,79,76
Franklin,68,President,,R,George Bush,80,80,
Franklin,69,President,,R,George Bush,124,124,
Franklin,70,President,,R,George Bush,43,43,
Franklin,71,President,,R,George Bush,21,21,
Franklin,72,President,,R,George Bush,112,112,
Franklin,73,President,,R,George Bush,143,143,
Franklin,74,President,,R,George Bush,50,50,
Franklin,75,President,,R,George Bush,0,0,
Franklin,,President,,R,George Bush,10757,6730,4027
Franklin,1,President,,L,Michael Badnarik,3,1,2
Franklin,2,President,,L,Michael Badnarik,2,0,2
Franklin,3,President,,L,Michael Badnarik,2,1,1
Franklin,4,President,,L,Michael Badnarik,0,0,0
Franklin,5,President,,L,Michael Badnarik,1,0,1
Franklin,6,President,,L,Michael Badnarik,1,0,1
Franklin,7,President,,L,Michael Badnarik,0,0,0
Franklin,8,President,,L,Michael Badnarik,0,0,
Franklin,9,President,,L,Michael Badnarik,0,0,
Franklin,10,President,,L,Michael Badnarik,1,0,1
Franklin,11,President,,L,Michael Badnarik,1,0,1
Franklin,12,President,,L,Michael Badnarik,3,1,2
Franklin,13,President,,L,Michael Badnarik,0,0,
Franklin,14,President,,L,Michael Badnarik,2,1,1
Franklin,15,President,,L,Michael Badnarik,0,0,
Franklin,16,President,,L,Michael Badnarik,0,0,
Franklin,17,President,,L,Michael Badnarik,0,0,
Franklin,18,President,,L,Michael Badnarik,0,0,
Franklin,19,President,,L,Michael Badnarik,0,0,
Franklin,20,President,,L,Michael Badnarik,0,0,
Franklin,21,President,,L,Michael Badnarik,0,0,
Franklin,22,President,,L,Michael Badnarik,1,1,
Franklin,23,President,,L,Michael Badnarik,4,1,3
Franklin,24,President,,L,Michael Badnarik,2,1,1
Franklin,25,President,,L,Michael Badnarik,1,1,
Franklin,26,President,,L,Michael Badnarik,1,1,
Franklin,27,President,,L,Michael Badnarik,1,1,
Franklin,28,President,,L,Michael Badnarik,1,1,
Franklin,29,President,,L,Michael Badnarik,7,3,4
Franklin,30,President,,L,Michael Badnarik,0,0,0
Franklin,31,President,,L,Michael Badnarik,6,2,4
Franklin,32,President,,L,Michael Badnarik,3,1,2
Franklin,33,President,,L,Michael Badnarik,3,2,1
Franklin,34,President,,L,Michael Badnarik,0,0,
Franklin,35,President,,L,Michael Badnarik,0,0,
Franklin,36,President,,L,Michael Badnarik,1,1,
Franklin,37,President,,L,Michael Badnarik,1,1,
Franklin,38,President,,L,Michael Badnarik,0,0,0
Franklin,39,President,,L,Michael Badnarik,1,1,0
Franklin,40,President,,L,Michael Badnarik,1,0,1
Franklin,41,President,,L,Michael Badnarik,1,0,1
Franklin,42,President,,L,Michael Badnarik,1,0,1
Franklin,43,President,,L,Michael Badnarik,0,0,0
Franklin,44,President,,L,Michael Badnarik,2,2,
Franklin,45,President,,L,Michael Badnarik,0,0,
Franklin,46,President,,L,Michael Badnarik,0,0,
Franklin,47,President,,L,Michael Badnarik,2,2,
Franklin,48,President,,L,Michael Badnarik,0,0,
Franklin,49,President,,L,Michael Badnarik,0,0,
Franklin,50,President,,L,Michael Badnarik,0,0,
Franklin,51,President,,L,Michael Badnarik,0,0,
Franklin,52,President,,L,Michael Badnarik,0,0,
Franklin,53,President,,L,Michael Badnarik,0,0,
Franklin,54,President,,L,Michael Badnarik,1,1,
Franklin,55,President,,L,Michael Badnarik,0,0,
Franklin,56,President,,L,Michael Badnarik,1,1,
Franklin,57,President,,L,Michael Badnarik,0,0,
Franklin,58,President,,L,Michael Badnarik,1,1,
Franklin,59,President,,L,Michael Badnarik,0,0,
Franklin,60,President,,L,Michael Badnarik,0,0,
Franklin,61,President,,L,Michael Badnarik,2,2,
Franklin,62,President,,L,Michael Badnarik,0,0,
Franklin,63,President,,L,Michael Badnarik,0,0,
Franklin,64,President,,L,Michael Badnarik,4,3,1
Franklin,65,President,,L,Michael Badnarik,0,0,0
Franklin,66,President,,L,Michael Badnarik,0,0,0
Franklin,67,President,,L,Michael Badnarik,0,0,0
Franklin,68,President,,L,Michael Badnarik,1,1,
Franklin,69,President,,L,Michael Badnarik,0,0,
Franklin,70,President,,L,Michael Badnarik,0,0,
Franklin,71,President,,L,Michael Badnarik,0,0,
Franklin,72,President,,L,Michael Badnarik,0,0,
Franklin,73,President,,L,Michael Badnarik,1,1,
Franklin,74,President,,L,Michael Badnarik,0,0,
Franklin,75,President,,L,Michael Badnarik,0,0,
Franklin,,President,,L,Michael Badnarik,67,36,31
Franklin,1,President,,WW,John Parker,0,0,0
Franklin,2,President,,WW,John Parker,1,1,0
Franklin,3,President,,WW,John Parker,0,0,0
Franklin,4,President,,WW,John Parker,0,0,0
