firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Adams,95
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Asotin,188
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Benton,1534
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Chelan,632
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Clallam,1174
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Clark,4648
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Columbia,57
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Cowlitz,1364
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Douglas,188
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Ferry,94
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Franklin,236
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Garfield,51
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Grant,498
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Grays Harbor,1253
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Island,1254
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Jefferson,920
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,King,41373
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Kitsap,3894
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Kittitas,376
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Klickitat,236
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Lewis,809
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Lincoln,97
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Mason,748
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Okanogan,495
Bill,Bradley,Bill Bradley,D,D,President - Democratic Primary,NA,,county,Pacific,436
