firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Adams,1315
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Asotin,3319
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Benton,21549
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Chelan,10471
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Clallam,17049
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Clark,79538
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Columbia,605
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Cowlitz,21589
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Douglas,4306
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Ferry,1201
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Franklin,5188
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Garfield,365
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Grant,7779
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Grays Harbor,14583
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Island,18216
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Jefferson,11610
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,King,580378
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Kitsap,60796
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Kittitas,6731
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Klickitat,4036
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Lewis,10726
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Lincoln,1706
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Mason,12894
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Okanogan,6309
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Pacific,5570
John,Kerry/John Edwards,John Kerry/John Edwards,D,D,President/Vice President,NA,,county,Pend Oreille,2310
