"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Don Scheibe","","1586","23.6188","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Brian Temple","","428","6.3738","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Linda Rue Wood","","508","7.5652","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Sandra St. Amour","","158","2.3529","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Richard (Rick) Rogers","","1037","15.443","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Steven G. Lee","","103","1.5339","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Gordon Glenn","","549","8.1757","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Jack Seeh","","345","5.1378","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Don Richel","","178","2.6508","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Robert (Bob) Cannon","","234","3.3472","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Mark Heuett","","776","11.1","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Adrienne Bennett","","154","2.2028","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Keith Delzer","","140","2.0026","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Tom Van Horn","","163","2.3316","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Todd Richardson","","408","5.8361","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Lewellyn (Louie) Juhl","","87","1.2445","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Leroy Croll","","47","0.6723","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Lynn Sanders","","277","3.9622","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Doug Schurman","","1539","22.014","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Vince T. Stroops","","130","1.8595","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Scott Broyles","","1377","19.6968","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Karen Juhl","","102","1.459","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Donald O'Malley","","107","1.5305","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Joel Ristau","","494","7.0662","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Bill Derbonne","","197","2.8179","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Thomas A. Sattler","","341","4.8777","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Patricia Bates","","257","3.6762","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Ruth Cannon","","161","2.303","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Rose Marie Araya","","316","5.2658","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Judy Wilder","","443","7.3821","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Rebecca Gayle Nourse","","230","3.8327","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","John (Bud) Sharp","","1934","32.228","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Don Galles","","358","5.9657","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Roberta Treadway-Sharp","","196","3.2661","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Alice White","","1038","17.2971","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Brian Kolstad","","794","13.2311","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Nicholas Fiore","","217","3.6161","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Jennie F. Shepherd","","475","7.9153","COUNTYWIDE"
"Asotin","Supreme Court Justice Position 2","Susan Owens","","6963","100","Supreme Court"
"Asotin","Supreme Court Justice Position 8","Steve Gonzalez","","6802","100","Supreme Court"
"Asotin","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","3682","48.6779","Supreme Court"
"Asotin","Supreme Court Justice Position 9","Richard B. Sanders","","3882","51.3221","Supreme Court"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","William D. (Bill) Acey","","7980","100","Asotin, Columbia, Garfield Superior Court"
"Asotin","EMS DISTRICT 1 EMS District 1, Proposition No. 1 Emergency Medical Services Property Tax Levy","Yes","","382","67.4912","EMS DISTRICT 1"
"Asotin","EMS DISTRICT 1 EMS District 1, Proposition No. 1 Emergency Medical Services Property Tax Levy","No","","184","32.5088","EMS DISTRICT 1"
"Asotin","EMS DISTRICT 2 EMS District 2, Proposition No. 1 Excess Tax Levy","Yes, Levy","","1725","72.1154","EMS DISTRICT 2"
"Asotin","EMS DISTRICT 2 EMS District 2, Proposition No. 1 Excess Tax Levy","No, Levy","","667","27.8846","EMS DISTRICT 2"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2","Kim Geist Jr.","","2492","34.9656","PUBLIC UTILITY DISTRICT"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2","Don Nuxoll","","4635","65.0344","PUBLIC UTILITY DISTRICT"
"Benton","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","56547","73.826","Statewide"
"Benton","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","20048","26.174","Statewide"
"Benton","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","39659","51.13","Statewide"
"Benton","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","37906","48.87","Statewide"
"Benton","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","29109","36.7928","Statewide"
"Benton","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","50007","63.2072","Statewide"
"Benton","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","34530","43.5897","Statewide"
"Benton","Statewide Initiative Measure No. 502 Concerns marijuana","No","","44686","56.4103","Statewide"
"Benton","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","46019","64.4001","Statewide"
"Benton","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","25439","35.5999","Statewide"
"Benton","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","28953","39.6584","Statewide"
"Benton","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","44053","60.3416","Statewide"
"Benton","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","45993","66.2084","Washington State"
"Benton","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","23474","33.7916","Washington State"
"Benton","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","44118","64.2548","Washington State"
"Benton","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","24543","35.7452","Washington State"
"Benton","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","28145","35.3763","United States"
"Benton","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","49461","62.169","United States"
"Benton","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","1148","1.443","United States"
"Benton","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","303","0.3808","United States"
"Benton","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","360","0.4525","United States"
"Benton","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","19","0.0239","United States"
"Benton","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","18","0.0226","United States"
"Benton","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","105","0.132","United States"
"Benton","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","33391","42.6891","United States"
"Benton","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","44828","57.3109","United States"
"Benton","Congressional District 4 U.S. Representative","Doc Hastings","(Prefers Republican Party)","54409","70.1925","Congressional District 4"
"Benton","Congressional District 4 U.S. Representative","Mary Baechler","(Prefers Democratic Party)","23105","29.8075","Congressional District 4"
"Benton","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","27291","34.9669","Washington State"
"Benton","Washington State Governor","Rob McKenna","(Prefers Republican Party)","50757","65.0331","Washington State"
"Benton","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","30014","40.0128","Washington State"
"Benton","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","44997","59.9872","Washington State"
"Benton","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","50318","67.9955","Washington State"
"Benton","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","23684","32.0045","Washington State"
"Benton","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","30583","41.5784","Washington State"
"Benton","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","42972","58.4216","Washington State"
"Benton","Washington State State Auditor","James Watkins","(Prefers Republican Party)","48083","65.8022","Washington State"
"Benton","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","24989","34.1978","Washington State"
"Benton","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","23756","31.9232","Washington State"
"Benton","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","50660","68.0768","Washington State"
"Benton","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","25868","34.4833","Washington State"
"Benton","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","49148","65.5167","Washington State"
"Benton","Washington State Superintendent of Public Instruction","Randy I. Dorn","","56452","100","Washington State"
"Benton","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","28462","39.3149","Washington State"
"Benton","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","43933","60.6851","Washington State"
"Benton","Legislative District 8 State Representative Pos. 1","Jay Clough","(Prefers Democratic Party)","22695","37.9401","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)","37123","62.0599","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Larry Haler","(Prefers Republican Party)","42953","72.42","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Richard Reuther","(Prefers Democratic Party)","16358","27.58","Legislative District 8"
"Benton","Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","10706","72.8944","Legislative District 16"
"Benton","Legislative District 16 State Senator","Scott Nettles","(Prefers Democratic Party)","3981","27.1056","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","7134","52.8797","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)","6357","47.1203","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","11916","100","Legislative District 16"
"Benton","Benton County Commissioner District #1","Jerome Delvin","(Prefers Republican Party)","43685","63.479","Benton County"
"Benton","Benton County Commissioner District #1","Rick Jansons","(Prefers Republican Party)","25133","36.521","Benton County"
"Benton","Benton County Commissioner District #3","James R Beaver","(Prefers Republican Party)","51801","77.4954","Benton County"
"Benton","Benton County Commissioner District #3","Edgar Cousineau","(Prefers Republican Party)","15043","22.5046","Benton County"
"Benton","Benton County PUD Commissioner Pos. 3","Robert Bertsch","","19679","48.8968","Benton County PUD"
