firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Mike The,Mover,Mike The Mover,D,D,U. S. Representative District #1,NA,,county,King,1486
Mike The,Mover,Mike The Mover,D,D,U. S. Representative District #1,NA,,county,Kitsap,1087
Mike The,Mover,Mike The Mover,D,D,U. S. Representative District #1,NA,,county,Snohomish,2718
Mike The,Mover,Mike The Mover,D,D,U. S. Representative District #1,NA,,state,Washington,5291
Mark  B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,King,813
Mark  B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,Kitsap,548
Mark  B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,Snohomish,1664
Mark  B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,state,Washington,3025
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Island,362
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,King,4
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,San Juan,94
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Skagit,289
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Snohomish,1395
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Whatcom,710
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,state,Washington,2854
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Island,301
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,King,6
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,San Juan,348
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Skagit,376
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Snohomish,972
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Whatcom,1230
Bernard Patrick (Bern),Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,state,Washington,3233
Warren E.,Hanson,Warren E. Hanson,R,R,U. S. Representative District #2,NA,,county,Snohomish,4268
