Number,Name,office,district,party,candidate,votes,early,poll
1,CLE ELUM 1,,,,Registration,278,,
2,CLE ELUM 2,,,,Registration,214,,
3,CLE ELUM 3,,,,Registration,120,,
4,CLE ELUM 4,,,,Registration,335,,
5,DENMARK,,,,Registration,572,,
6,EAST SANDERS,,,,Registration,437,,
7,EASTON,,,,Registration,531,,
8,ELLENSBURG 1,,,,Registration,138,,
9,ELLENSBURG 2,,,,Registration,165,,
10,ELLENSBURG 3,,,,Registration,74,,
11,ELLENSBURG 4,,,,Registration,133,,
12,ELLENSBURG 5,,,,Registration,200,,
13,ELLENSBURG 6,,,,Registration,116,,
14,ELLENSBURG 7,,,,Registration,150,,
15,ELLENSBURG 8,,,,Registration,170,,
16,ELLENSBURG 9,,,,Registration,125,,
17,ELLENSBURG 10,,,,Registration,219,,
18,ELLENSBURG 11,,,,Registration,231,,
19,ELLENSBURG 12,,,,Registration,202,,
20,ELLENSBURG 13,,,,Registration,178,,
21,ELLENSBURG 14,,,,Registration,156,,
22,ELLENSBURG 15,,,,Registration,405,,
23,ELLENSBURG 16,,,,Registration,217,,
24,ELLENSBURG 17,,,,Registration,357,,
25,ELLENSBURG 18,,,,Registration,129,,
26,ELLENSBURG 19,,,,Registration,538,,
27,ELLENSBURG 20,,,,Registration,170,,
28,ELLENSBURG 21,,,,Registration,221,,
29,ELLENSBURG 22,,,,Registration,341,,
30,ELLENSBURG 23,,,,Registration,367,,
31,ELLENSBURG 24,,,,Registration,453,,
32,HYAK (vbm),,,,Registration,181,,
33,KITTITAS 1,,,,Registration,243,,
34,MANASTASH,,,,Registration,382,,
35,MOUNTAIN (vbm),,,,Registration,188,,
36,NORTH CENTRAL,,,,Registration,481,,
37,NORTH ELLENSBURG,,,,Registration,388,,
38,PARK,,,,Registration,478,,
39,PEOH POINT,,,,Registration,440,,
40,RIDGEWAY,,,,Registration,679,,
41,ROSLYN 1,,,,Registration,308,,
42,ROSLYN 2,,,,Registration,296,,
43,DRY CREEK,,,,Registration,589,,
44,WESTSIDE (vbm),,,,Registration,496,,
45,ROSLYN OUTLYING (vbm),,,,Registration,43,,
46,SANDERS,,,,Registration,229,,
47,SOUTH CLE ELUM,,,,Registration,294,,
48,SOUTH ELLENSBURG,,,,Registration,514,,
49,CANYON,,,,Registration,158,,
50,SWAUK (vbm),,,,Registration,262,,
51,TEANAWAY (vbm),,,,Registration,394,,
52,THORP,,,,Registration,515,,
53,VANTAGE (vbm),,,,Registration,49,,
54,NORTH EAST FAIRVIEW,,,,Registration,281,,
55,FAIRVIEW,,,,Registration,449,,
56,THRALL,,,,Registration,430,,
58,DAMMAN,,,,Registration,427,,
59,KACHESS (vbm),,,,Registration,226,,
60,KITTITAS 2,,,,Registration,320,,
61,ELLENSBURG 25,,,,Registration,370,,
62,RONALD (vbm),,,,Registration,194,,
99,KITTITAS WA,,,,Registration,18246,,
1,CLE ELUM 1,,,,Ballots,175,128,47
2,CLE ELUM 2,,,,Ballots,142,95,47
3,CLE ELUM 3,,,,Ballots,75,52,23
4,CLE ELUM 4,,,,Ballots,221,148,73
5,DENMARK,,,,Ballots,416,339,77
6,EAST SANDERS,,,,Ballots,302,232,70
7,EASTON,,,,Ballots,330,286,44
8,ELLENSBURG 1,,,,Ballots,69,49,20
9,ELLENSBURG 2,,,,Ballots,101,63,38
10,ELLENSBURG 3,,,,Ballots,39,22,17
11,ELLENSBURG 4,,,,Ballots,87,57,30
12,ELLENSBURG 5,,,,Ballots,111,74,37
13,ELLENSBURG 6,,,,Ballots,76,56,20
14,ELLENSBURG 7,,,,Ballots,78,54,24
15,ELLENSBURG 8,,,,Ballots,114,73,41
16,ELLENSBURG 9,,,,Ballots,91,51,40
17,ELLENSBURG 10,,,,Ballots,148,80,68
18,ELLENSBURG 11,,,,Ballots,165,108,57
19,ELLENSBURG 12,,,,Ballots,158,118,40
20,ELLENSBURG 13,,,,Ballots,137,92,45
21,ELLENSBURG 14,,,,Ballots,132,85,47
22,ELLENSBURG 15,,,,Ballots,297,201,96
23,ELLENSBURG 16,,,,Ballots,128,93,35
24,ELLENSBURG 17,,,,Ballots,179,129,50
25,ELLENSBURG 18,,,,Ballots,28,16,12
26,ELLENSBURG 19,,,,Ballots,317,231,86
27,ELLENSBURG 20,,,,Ballots,110,70,40
28,ELLENSBURG 21,,,,Ballots,139,116,23
29,ELLENSBURG 22,,,,Ballots,205,140,65
30,ELLENSBURG 23,,,,Ballots,271,223,48
31,ELLENSBURG 24,,,,Ballots,334,254,80
32,HYAK (vbm),,,,Ballots,110,0,110
33,KITTITAS 1,,,,Ballots,136,108,28
34,MANASTASH,,,,Ballots,295,224,71
35,MOUNTAIN (vbm),,,,Ballots,142,0,142
36,NORTH CENTRAL,,,,Ballots,363,272,91
37,NORTH ELLENSBURG,,,,Ballots,295,228,67
38,PARK,,,,Ballots,329,279,50
39,PEOH POINT,,,,Ballots,326,267,59
40,RIDGEWAY,,,,Ballots,523,406,117
41,ROSLYN 1,,,,Ballots,205,151,54
42,ROSLYN 2,,,,Ballots,207,166,41
43,DRY CREEK,,,,Ballots,408,332,76
44,WESTSIDE (vbm),,,,Ballots,347,0,347
45,ROSLYN OUTLYING (vbm),,,,Ballots,33,0,33
46,SANDERS,,,,Ballots,166,130,36
47,SOUTH CLE ELUM,,,,Ballots,196,147,49
48,SOUTH ELLENSBURG,,,,Ballots,387,274,113
49,CANYON,,,,Ballots,92,80,12
50,SWAUK (vbm),,,,Ballots,203,0,203
51,TEANAWAY (vbm),,,,Ballots,288,0,288
52,THORP,,,,Ballots,351,306,45
53,VANTAGE (vbm),,,,Ballots,36,0,36
54,NORTH EAST FAIRVIEW,,,,Ballots,218,162,56
55,FAIRVIEW,,,,Ballots,324,257,67
56,THRALL,,,,Ballots,317,256,61
58,DAMMAN,,,,Ballots,332,265,67
59,KACHESS (vbm),,,,Ballots,150,0,150
60,KITTITAS 2,,,,Ballots,169,142,27
61,ELLENSBURG 25,,,,Ballots,240,175,65
62,RONALD (vbm),,,,Ballots,127,0,127
99,KITTITAS WA,,,,Ballots,12490,,
1,CLE ELUM 1,U.S. Senate,,D,Maria Cantwell,79,60,19
2,CLE ELUM 2,U.S. Senate,,D,Maria Cantwell,72,50,22
3,CLE ELUM 3,U.S. Senate,,D,Maria Cantwell,45,35,10
4,CLE ELUM 4,U.S. Senate,,D,Maria Cantwell,107,66,41
5,DENMARK,U.S. Senate,,D,Maria Cantwell,117,100,17
6,EAST SANDERS,U.S. Senate,,D,Maria Cantwell,110,79,31
7,EASTON,U.S. Senate,,D,Maria Cantwell,149,131,18
8,ELLENSBURG 1,U.S. Senate,,D,Maria Cantwell,48,33,15
9,ELLENSBURG 2,U.S. Senate,,D,Maria Cantwell,72,43,29
10,ELLENSBURG 3,U.S. Senate,,D,Maria Cantwell,21,12,9
11,ELLENSBURG 4,U.S. Senate,,D,Maria Cantwell,52,34,18
12,ELLENSBURG 5,U.S. Senate,,D,Maria Cantwell,70,49,21
13,ELLENSBURG 6,U.S. Senate,,D,Maria Cantwell,44,34,10
14,ELLENSBURG 7,U.S. Senate,,D,Maria Cantwell,46,34,12
15,ELLENSBURG 8,U.S. Senate,,D,Maria Cantwell,57,31,26
16,ELLENSBURG 9,U.S. Senate,,D,Maria Cantwell,60,36,24
17,ELLENSBURG 10,U.S. Senate,,D,Maria Cantwell,89,48,41
18,ELLENSBURG 11,U.S. Senate,,D,Maria Cantwell,106,67,39
19,ELLENSBURG 12,U.S. Senate,,D,Maria Cantwell,100,66,34
20,ELLENSBURG 13,U.S. Senate,,D,Maria Cantwell,85,51,34
21,ELLENSBURG 14,U.S. Senate,,D,Maria Cantwell,82,48,34
22,ELLENSBURG 15,U.S. Senate,,D,Maria Cantwell,138,89,49
23,ELLENSBURG 16,U.S. Senate,,D,Maria Cantwell,83,64,19
24,ELLENSBURG 17,U.S. Senate,,D,Maria Cantwell,91,62,29
25,ELLENSBURG 18,U.S. Senate,,D,Maria Cantwell,18,12,6
26,ELLENSBURG 19,U.S. Senate,,D,Maria Cantwell,172,116,56
27,ELLENSBURG 20,U.S. Senate,,D,Maria Cantwell,62,40,22
28,ELLENSBURG 21,U.S. Senate,,D,Maria Cantwell,78,68,10
29,ELLENSBURG 22,U.S. Senate,,D,Maria Cantwell,88,66,22
30,ELLENSBURG 23,U.S. Senate,,D,Maria Cantwell,139,119,20
31,ELLENSBURG 24,U.S. Senate,,D,Maria Cantwell,171,135,36
32,HYAK (vbm),U.S. Senate,,D,Maria Cantwell,60,0,60
33,KITTITAS 1,U.S. Senate,,D,Maria Cantwell,50,38,12
34,MANASTASH,U.S. Senate,,D,Maria Cantwell,132,93,39
35,MOUNTAIN (vbm),U.S. Senate,,D,Maria Cantwell,68,0,68
36,NORTH CENTRAL,U.S. Senate,,D,Maria Cantwell,118,89,29
37,NORTH ELLENSBURG,U.S. Senate,,D,Maria Cantwell,125,93,32
38,PARK,U.S. Senate,,D,Maria Cantwell,98,90,8
39,PEOH POINT,U.S. Senate,,D,Maria Cantwell,117,90,27
40,RIDGEWAY,U.S. Senate,,D,Maria Cantwell,200,156,44
41,ROSLYN 1,U.S. Senate,,D,Maria Cantwell,128,98,30
42,ROSLYN 2,U.S. Senate,,D,Maria Cantwell,125,101,24
43,DRY CREEK,U.S. Senate,,D,Maria Cantwell,126,103,23
44,WESTSIDE (vbm),U.S. Senate,,D,Maria Cantwell,172,0,172
45,ROSLYN OUTLYING (vbm),U.S. Senate,,D,Maria Cantwell,7,0,7
