county,precinct,office,district,party,candidate,votes,absentee,polls
Clark,50,VAN,,,Registered,875,,
Clark,55,VAN,,,Registered,1028,,
Clark,60,VAN,,,Registered,1020,,
Clark,70,VAN,,,Registered,1002,,
Clark,90,VAN,,,Registered,856,,
Clark,100,VAN,,,Registered,1323,,
Clark,110,VAN,,,Registered,1061,,
Clark,120,VAN,,,Registered,1184,,
Clark,130,VAN,,,Registered,1251,,
Clark,147,VAN,,,Registered,905,,
Clark,150,VAN,,,Registered,970,,
Clark,153,VAN,,,Registered,850,,
Clark,160,VAN,,,Registered,900,,
Clark,170,VAN,,,Registered,900,,
Clark,175,VAN,,,Registered,917,,
Clark,180,VAN,,,Registered,1270,,
Clark,190,VAN,,,Registered,1732,,
Clark,200,VAN,,,Registered,1290,,
Clark,220,VAN,,,Registered,1332,,
Clark,225,VAN,,,Registered,912,,
Clark,240,VAN,,,Registered,1429,,
Clark,245,VAN,,,Registered,668,,
Clark,250,VAN,,,Registered,1715,,
Clark,255,VAN,,,Registered,862,,
Clark,257,VAN,,,Registered,991,,
Clark,290,VAN,,,Registered,1078,,
Clark,294,VAN,,,Registered,956,,
Clark,296,VAN,,,Registered,1222,,
Clark,325,,,,Registered,2074,,
Clark,330,,,,Registered,1439,,
Clark,335,,,,Registered,908,,
Clark,340,,,,Registered,1527,,
Clark,350,,,,Registered,1154,,
Clark,360,,,,Registered,1398,,
Clark,370,,,,Registered,1047,,
Clark,390,,,,Registered,1215,,
Clark,395,,,,Registered,319,,
Clark,400,,,,Registered,734,,
Clark,410,,,,Registered,1415,,
Clark,415,,,,Registered,839,,
Clark,420,,,,Registered,1085,,
Clark,424,,,,Registered,1533,,
Clark,425,,,,Registered,1554,,
Clark,426,,,,Registered,728,,
Clark,430,,,,Registered,1183,,
Clark,434,,,,Registered,874,,
Clark,435,,,,Registered,637,,
Clark,440,,,,Registered,839,,
Clark,441,,,,Registered,1309,,
Clark,444,,,,Registered,935,,
Clark,445,,,,Registered,1923,,
Clark,446,,,,Registered,1933,,
Clark,447,,,,Registered,1350,,
Clark,448,,,,Registered,1381,,
Clark,450,,,,Registered,1437,,
Clark,451,,,,Registered,1600,,
Clark,452,,,,Registered,974,,
Clark,453,,,,Registered,1005,,
Clark,455,,,,Registered,695,,
Clark,460,,,,Registered,1434,,
Clark,470,,,,Registered,1198,,
Clark,480,,,,Registered,1569,,
Clark,483,,,,Registered,1283,,
