county,precinct_code,precinct,office,district,party,candidate,votes
King,69,AUB 31-0069,Republican Party,,,John R. Kasich,3
King,69,AUB 31-0069,Republican Party,,,Registered Voters,322
King,69,AUB 31-0069,Republican Party,,,Ted Cruz,4
King,69,AUB 31-0069,Republican Party,,,Write-In,1
King,70,AUB 31-0070,Democratic Party,,,Bernie Sanders,43
King,70,AUB 31-0070,Democratic Party,,,Hillary Clinton,56
King,70,AUB 31-0070,Democratic Party,,,Registered Voters,702
King,70,AUB 31-0070,Democratic Party,,,Write-In,0
King,70,AUB 31-0070,Republican Party,,,Ben Carson,4
King,70,AUB 31-0070,Republican Party,,,Donald J. Trump,59
King,70,AUB 31-0070,Republican Party,,,John R. Kasich,1
King,70,AUB 31-0070,Republican Party,,,Registered Voters,702
King,70,AUB 31-0070,Republican Party,,,Ted Cruz,10
King,70,AUB 31-0070,Republican Party,,,Write-In,0
King,78,AUB 31-0078,Democratic Party,,,Bernie Sanders,30
King,78,AUB 31-0078,Democratic Party,,,Hillary Clinton,55
King,78,AUB 31-0078,Democratic Party,,,Registered Voters,399
King,78,AUB 31-0078,Democratic Party,,,Write-In,0
King,78,AUB 31-0078,Republican Party,,,Ben Carson,3
King,78,AUB 31-0078,Republican Party,,,Donald J. Trump,38
King,78,AUB 31-0078,Republican Party,,,John R. Kasich,2
King,78,AUB 31-0078,Republican Party,,,Registered Voters,399
King,78,AUB 31-0078,Republican Party,,,Ted Cruz,5
King,78,AUB 31-0078,Republican Party,,,Write-In,0
King,80,AUB 31-0080,Democratic Party,,,Bernie Sanders,45
King,80,AUB 31-0080,Democratic Party,,,Hillary Clinton,33
King,80,AUB 31-0080,Democratic Party,,,Registered Voters,527
King,80,AUB 31-0080,Democratic Party,,,Write-In,0
King,80,AUB 31-0080,Republican Party,,,Ben Carson,2
King,80,AUB 31-0080,Republican Party,,,Donald J. Trump,45
King,80,AUB 31-0080,Republican Party,,,John R. Kasich,9
King,80,AUB 31-0080,Republican Party,,,Registered Voters,527
King,80,AUB 31-0080,Republican Party,,,Ted Cruz,7
King,80,AUB 31-0080,Republican Party,,,Write-In,2
King,81,AUB 31-0081,Democratic Party,,,Bernie Sanders,35
King,81,AUB 31-0081,Democratic Party,,,Hillary Clinton,53
King,81,AUB 31-0081,Democratic Party,,,Registered Voters,469
King,81,AUB 31-0081,Democratic Party,,,Write-In,0
King,81,AUB 31-0081,Republican Party,,,Ben Carson,4
King,81,AUB 31-0081,Republican Party,,,Donald J. Trump,43
King,81,AUB 31-0081,Republican Party,,,John R. Kasich,3
King,81,AUB 31-0081,Republican Party,,,Registered Voters,469
King,81,AUB 31-0081,Republican Party,,,Ted Cruz,12
King,81,AUB 31-0081,Republican Party,,,Write-In,0
King,82,AUB 31-0082,Democratic Party,,,Bernie Sanders,29
King,82,AUB 31-0082,Democratic Party,,,Hillary Clinton,50
King,82,AUB 31-0082,Democratic Party,,,Registered Voters,414
King,82,AUB 31-0082,Democratic Party,,,Write-In,1
King,82,AUB 31-0082,Republican Party,,,Ben Carson,0
King,82,AUB 31-0082,Republican Party,,,Donald J. Trump,54
King,82,AUB 31-0082,Republican Party,,,John R. Kasich,2
King,82,AUB 31-0082,Republican Party,,,Registered Voters,414
King,82,AUB 31-0082,Republican Party,,,Ted Cruz,9
King,82,AUB 31-0082,Republican Party,,,Write-In,1
King,83,AUB 31-0083,Democratic Party,,,Bernie Sanders,54
King,83,AUB 31-0083,Democratic Party,,,Hillary Clinton,41
King,83,AUB 31-0083,Democratic Party,,,Registered Voters,509
King,83,AUB 31-0083,Democratic Party,,,Write-In,0
King,83,AUB 31-0083,Republican Party,,,Ben Carson,4
King,83,AUB 31-0083,Republican Party,,,Donald J. Trump,52
King,83,AUB 31-0083,Republican Party,,,John R. Kasich,4
King,83,AUB 31-0083,Republican Party,,,Registered Voters,509
King,83,AUB 31-0083,Republican Party,,,Ted Cruz,5
King,83,AUB 31-0083,Republican Party,,,Write-In,2
King,3299,AUB 31-3299,Democratic Party,,,Bernie Sanders,51
King,3299,AUB 31-3299,Democratic Party,,,Hillary Clinton,61
King,3299,AUB 31-3299,Democratic Party,,,Registered Voters,761
King,3299,AUB 31-3299,Democratic Party,,,Write-In,1
King,3299,AUB 31-3299,Republican Party,,,Ben Carson,2
King,3299,AUB 31-3299,Republican Party,,,Donald J. Trump,107
King,3299,AUB 31-3299,Republican Party,,,John R. Kasich,17
King,3299,AUB 31-3299,Republican Party,,,Registered Voters,761
King,3299,AUB 31-3299,Republican Party,,,Ted Cruz,13
King,3299,AUB 31-3299,Republican Party,,,Write-In,0
King,3335,AUB 31-3335,Democratic Party,,,Bernie Sanders,64
King,3335,AUB 31-3335,Democratic Party,,,Hillary Clinton,73
King,3335,AUB 31-3335,Democratic Party,,,Registered Voters,792
King,3335,AUB 31-3335,Democratic Party,,,Write-In,0
King,3335,AUB 31-3335,Republican Party,,,Ben Carson,5
King,3335,AUB 31-3335,Republican Party,,,Donald J. Trump,77
King,3335,AUB 31-3335,Republican Party,,,John R. Kasich,6
King,3335,AUB 31-3335,Republican Party,,,Registered Voters,792
King,3335,AUB 31-3335,Republican Party,,,Ted Cruz,8
King,3335,AUB 31-3335,Republican Party,,,Write-In,2
King,3405,AUB 31-3405,Democratic Party,,,Bernie Sanders,36
King,3405,AUB 31-3405,Democratic Party,,,Hillary Clinton,48
King,3405,AUB 31-3405,Democratic Party,,,Registered Voters,665
King,3405,AUB 31-3405,Democratic Party,,,Write-In,1
King,3405,AUB 31-3405,Republican Party,,,Ben Carson,6
King,3405,AUB 31-3405,Republican Party,,,Donald J. Trump,73
King,3405,AUB 31-3405,Republican Party,,,John R. Kasich,9
King,3405,AUB 31-3405,Republican Party,,,Registered Voters,665
King,3405,AUB 31-3405,Republican Party,,,Ted Cruz,10
King,3405,AUB 31-3405,Republican Party,,,Write-In,2
King,41,AUB 47-0041,Democratic Party,,,Bernie Sanders,69
King,41,AUB 47-0041,Democratic Party,,,Hillary Clinton,79
King,41,AUB 47-0041,Democratic Party,,,Registered Voters,824
King,41,AUB 47-0041,Democratic Party,,,Write-In,0
King,41,AUB 47-0041,Republican Party,,,Ben Carson,3
King,41,AUB 47-0041,Republican Party,,,Donald J. Trump,58
King,41,AUB 47-0041,Republican Party,,,John R. Kasich,5
King,41,AUB 47-0041,Republican Party,,,Registered Voters,824
King,41,AUB 47-0041,Republican Party,,,Ted Cruz,9
King,41,AUB 47-0041,Republican Party,,,Write-In,0
King,45,AUB 47-0045,Democratic Party,,,Bernie Sanders,69
King,45,AUB 47-0045,Democratic Party,,,Hillary Clinton,86
King,45,AUB 47-0045,Democratic Party,,,Registered Voters,693
King,45,AUB 47-0045,Democratic Party,,,Write-In,0
King,45,AUB 47-0045,Republican Party,,,Ben Carson,1
King,45,AUB 47-0045,Republican Party,,,Donald J. Trump,74
King,45,AUB 47-0045,Republican Party,,,John R. Kasich,5
King,45,AUB 47-0045,Republican Party,,,Registered Voters,693
King,45,AUB 47-0045,Republican Party,,,Ted Cruz,10
King,45,AUB 47-0045,Republican Party,,,Write-In,3
King,55,AUB 47-0055,Democratic Party,,,Bernie Sanders,33
King,55,AUB 47-0055,Democratic Party,,,Hillary Clinton,38
