county,precinct_code,precinct,office,district,party,candidate,votes
King,55,AUB 47-0055,Democratic Party,,,Registered Voters,434
King,55,AUB 47-0055,Democratic Party,,,Write-In,0
King,55,AUB 47-0055,Republican Party,,,Ben Carson,1
King,55,AUB 47-0055,Republican Party,,,Donald J. Trump,27
King,55,AUB 47-0055,Republican Party,,,John R. Kasich,2
King,55,AUB 47-0055,Republican Party,,,Registered Voters,434
King,55,AUB 47-0055,Republican Party,,,Ted Cruz,3
King,55,AUB 47-0055,Republican Party,,,Write-In,0
King,59,AUB 47-0059,Democratic Party,,,Bernie Sanders,32
King,59,AUB 47-0059,Democratic Party,,,Hillary Clinton,50
King,59,AUB 47-0059,Democratic Party,,,Registered Voters,709
King,59,AUB 47-0059,Democratic Party,,,Write-In,0
King,59,AUB 47-0059,Republican Party,,,Ben Carson,3
King,59,AUB 47-0059,Republican Party,,,Donald J. Trump,95
King,59,AUB 47-0059,Republican Party,,,John R. Kasich,8
King,59,AUB 47-0059,Republican Party,,,Registered Voters,709
King,59,AUB 47-0059,Republican Party,,,Ted Cruz,13
King,59,AUB 47-0059,Republican Party,,,Write-In,1
King,72,AUB 47-0072,Democratic Party,,,Bernie Sanders,45
King,72,AUB 47-0072,Democratic Party,,,Hillary Clinton,60
King,72,AUB 47-0072,Democratic Party,,,Registered Voters,543
King,72,AUB 47-0072,Democratic Party,,,Write-In,0
King,72,AUB 47-0072,Republican Party,,,Ben Carson,4
King,72,AUB 47-0072,Republican Party,,,Donald J. Trump,56
King,72,AUB 47-0072,Republican Party,,,John R. Kasich,12
King,72,AUB 47-0072,Republican Party,,,Registered Voters,543
King,72,AUB 47-0072,Republican Party,,,Ted Cruz,11
King,72,AUB 47-0072,Republican Party,,,Write-In,1
King,73,AUB 47-0073,Democratic Party,,,Bernie Sanders,68
King,73,AUB 47-0073,Democratic Party,,,Hillary Clinton,61
King,73,AUB 47-0073,Democratic Party,,,Registered Voters,740
King,73,AUB 47-0073,Democratic Party,,,Write-In,0
King,73,AUB 47-0073,Republican Party,,,Ben Carson,4
King,73,AUB 47-0073,Republican Party,,,Donald J. Trump,57
King,73,AUB 47-0073,Republican Party,,,John R. Kasich,10
King,73,AUB 47-0073,Republican Party,,,Registered Voters,740
King,73,AUB 47-0073,Republican Party,,,Ted Cruz,5
King,73,AUB 47-0073,Republican Party,,,Write-In,0
King,74,AUB 47-0074,Democratic Party,,,Bernie Sanders,61
King,74,AUB 47-0074,Democratic Party,,,Hillary Clinton,71
King,74,AUB 47-0074,Democratic Party,,,Registered Voters,579
King,74,AUB 47-0074,Democratic Party,,,Write-In,0
King,74,AUB 47-0074,Republican Party,,,Ben Carson,0
King,74,AUB 47-0074,Republican Party,,,Donald J. Trump,51
King,74,AUB 47-0074,Republican Party,,,John R. Kasich,9
King,74,AUB 47-0074,Republican Party,,,Registered Voters,579
King,74,AUB 47-0074,Republican Party,,,Ted Cruz,7
King,74,AUB 47-0074,Republican Party,,,Write-In,3
King,328,AUB 47-0328,Democratic Party,,,Bernie Sanders,51
King,328,AUB 47-0328,Democratic Party,,,Hillary Clinton,63
King,328,AUB 47-0328,Democratic Party,,,Registered Voters,696
King,328,AUB 47-0328,Democratic Party,,,Write-In,1
King,328,AUB 47-0328,Republican Party,,,Ben Carson,10
King,328,AUB 47-0328,Republican Party,,,Donald J. Trump,76
King,328,AUB 47-0328,Republican Party,,,John R. Kasich,20
King,328,AUB 47-0328,Republican Party,,,Registered Voters,696
King,328,AUB 47-0328,Republican Party,,,Ted Cruz,13
King,328,AUB 47-0328,Republican Party,,,Write-In,4
King,671,AUB 47-0671,Democratic Party,,,Bernie Sanders,67
King,671,AUB 47-0671,Democratic Party,,,Hillary Clinton,66
King,671,AUB 47-0671,Democratic Party,,,Registered Voters,862
King,671,AUB 47-0671,Democratic Party,,,Write-In,0
King,671,AUB 47-0671,Republican Party,,,Ben Carson,3
King,671,AUB 47-0671,Republican Party,,,Donald J. Trump,55
King,671,AUB 47-0671,Republican Party,,,John R. Kasich,7
King,671,AUB 47-0671,Republican Party,,,Registered Voters,862
King,671,AUB 47-0671,Republican Party,,,Ted Cruz,23
King,671,AUB 47-0671,Republican Party,,,Write-In,5
King,1066,AUB 47-1066,Democratic Party,,,Bernie Sanders,30
King,1066,AUB 47-1066,Democratic Party,,,Hillary Clinton,41
King,1066,AUB 47-1066,Democratic Party,,,Registered Voters,360
King,1066,AUB 47-1066,Democratic Party,,,Write-In,0
King,1066,AUB 47-1066,Republican Party,,,Ben Carson,1
King,1066,AUB 47-1066,Republican Party,,,Donald J. Trump,39
King,1066,AUB 47-1066,Republican Party,,,John R. Kasich,9
King,1066,AUB 47-1066,Republican Party,,,Registered Voters,360
King,1066,AUB 47-1066,Republican Party,,,Ted Cruz,6
King,1066,AUB 47-1066,Republican Party,,,Write-In,0
King,2478,AUB 47-2478,Democratic Party,,,Bernie Sanders,42
King,2478,AUB 47-2478,Democratic Party,,,Hillary Clinton,94
King,2478,AUB 47-2478,Democratic Party,,,Registered Voters,488
King,2478,AUB 47-2478,Democratic Party,,,Write-In,0
King,2478,AUB 47-2478,Republican Party,,,Ben Carson,2
King,2478,AUB 47-2478,Republican Party,,,Donald J. Trump,70
King,2478,AUB 47-2478,Republican Party,,,John R. Kasich,12
King,2478,AUB 47-2478,Republican Party,,,Registered Voters,488
King,2478,AUB 47-2478,Republican Party,,,Ted Cruz,10
King,2478,AUB 47-2478,Republican Party,,,Write-In,0
King,2551,AUB 47-2551,Democratic Party,,,Bernie Sanders,45
King,2551,AUB 47-2551,Democratic Party,,,Hillary Clinton,75
King,2551,AUB 47-2551,Democratic Party,,,Registered Voters,802
King,2551,AUB 47-2551,Democratic Party,,,Write-In,1
King,2551,AUB 47-2551,Republican Party,,,Ben Carson,1
King,2551,AUB 47-2551,Republican Party,,,Donald J. Trump,55
King,2551,AUB 47-2551,Republican Party,,,John R. Kasich,1
King,2551,AUB 47-2551,Republican Party,,,Registered Voters,802
King,2551,AUB 47-2551,Republican Party,,,Ted Cruz,11
King,2551,AUB 47-2551,Republican Party,,,Write-In,2
King,2573,AUB 47-2573,Democratic Party,,,Bernie Sanders,62
King,2573,AUB 47-2573,Democratic Party,,,Hillary Clinton,89
King,2573,AUB 47-2573,Democratic Party,,,Registered Voters,709
King,2573,AUB 47-2573,Democratic Party,,,Write-In,0
King,2573,AUB 47-2573,Republican Party,,,Ben Carson,2
King,2573,AUB 47-2573,Republican Party,,,Donald J. Trump,81
King,2573,AUB 47-2573,Republican Party,,,John R. Kasich,9
King,2573,AUB 47-2573,Republican Party,,,Registered Voters,709
King,2573,AUB 47-2573,Republican Party,,,Ted Cruz,15
King,2573,AUB 47-2573,Republican Party,,,Write-In,3
King,2700,AUB 47-2700,Democratic Party,,,Bernie Sanders,22
King,2700,AUB 47-2700,Democratic Party,,,Hillary Clinton,27
King,2700,AUB 47-2700,Democratic Party,,,Registered Voters,228
King,2700,AUB 47-2700,Democratic Party,,,Write-In,0
King,2700,AUB 47-2700,Republican Party,,,Ben Carson,1
King,2700,AUB 47-2700,Republican Party,,,Donald J. Trump,17
King,2700,AUB 47-2700,Republican Party,,,John R. Kasich,0
