county,office,district,party,candidate,votes
Adams,United States President Democratic Party,,,Hillary Clinton,398
Adams,United States President Democratic Party,,,Bernie Sanders,321
Adams,United States President Republican Party,,,Ben Carson,83
Adams,United States President Republican Party,,,Ted Cruz,204
Adams,United States President Republican Party,,,John R. Kasich,92
Adams,United States President Republican Party,,,Donald J. Trump,1264
Asotin,United States President Democratic Party,,,Hillary Clinton,1191
Asotin,United States President Democratic Party,,,Bernie Sanders,981
Asotin,United States President Republican Party,,,Ben Carson,162
Asotin,United States President Republican Party,,,Ted Cruz,284
Asotin,United States President Republican Party,,,John R. Kasich,211
Asotin,United States President Republican Party,,,Donald J. Trump,2549
Benton,United States President Democratic Party,,,Hillary Clinton,6324
Benton,United States President Democratic Party,,,Bernie Sanders,6125
Benton,United States President Republican Party,,,Ben Carson,966
Benton,United States President Republican Party,,,Ted Cruz,2798
Benton,United States President Republican Party,,,John R. Kasich,1699
Benton,United States President Republican Party,,,Donald J. Trump,16386
Chelan,United States President Democratic Party,,,Hillary Clinton,3471
Chelan,United States President Democratic Party,,,Bernie Sanders,3143
Chelan,United States President Republican Party,,,Ben Carson,432
Chelan,United States President Republican Party,,,Ted Cruz,946
Chelan,United States President Republican Party,,,John R. Kasich,851
Chelan,United States President Republican Party,,,Donald J. Trump,7578
Clallam,United States President Democratic Party,,,Hillary Clinton,5537
Clallam,United States President Democratic Party,,,Bernie Sanders,5495
Clallam,United States President Republican Party,,,Ben Carson,460
Clallam,United States President Republican Party,,,Ted Cruz,994
Clallam,United States President Republican Party,,,John R. Kasich,834
Clallam,United States President Republican Party,,,Donald J. Trump,8116
Clark,United States President Democratic Party,,,Hillary Clinton,24368
Clark,United States President Democratic Party,,,Bernie Sanders,25692
Clark,United States President Republican Party,,,Ben Carson,1581
Clark,United States President Republican Party,,,Ted Cruz,4688
Clark,United States President Republican Party,,,John R. Kasich,4297
Clark,United States President Republican Party,,,Donald J. Trump,34135
Columbia,United States President Democratic Party,,,Hillary Clinton,189
Columbia,United States President Democratic Party,,,Bernie Sanders,183
Columbia,United States President Republican Party,,,Ben Carson,39
Columbia,United States President Republican Party,,,Ted Cruz,71
Columbia,United States President Republican Party,,,John R. Kasich,62
Columbia,United States President Republican Party,,,Donald J. Trump,707
Cowlitz,United States President Democratic Party,,,Hillary Clinton,6127
Cowlitz,United States President Democratic Party,,,Bernie Sanders,5889
Cowlitz,United States President Republican Party,,,Ben Carson,473
Cowlitz,United States President Republican Party,,,Ted Cruz,1158
Cowlitz,United States President Republican Party,,,John R. Kasich,878
Cowlitz,United States President Republican Party,,,Donald J. Trump,9732
Douglas,United States President Democratic Party,,,Hillary Clinton,1369
Douglas,United States President Democratic Party,,,Bernie Sanders,1085
Douglas,United States President Republican Party,,,Ben Carson,176
Douglas,United States President Republican Party,,,Ted Cruz,457
Douglas,United States President Republican Party,,,John R. Kasich,344
Douglas,United States President Republican Party,,,Donald J. Trump,4059
Ferry,United States President Democratic Party,,,Hillary Clinton,299
Ferry,United States President Democratic Party,,,Bernie Sanders,463
Ferry,United States President Republican Party,,,Ben Carson,74
Ferry,United States President Republican Party,,,Ted Cruz,110
Ferry,United States President Republican Party,,,John R. Kasich,65
Ferry,United States President Republican Party,,,Donald J. Trump,1046
Franklin,United States President Democratic Party,,,Hillary Clinton,2054
Franklin,United States President Democratic Party,,,Bernie Sanders,1805
Franklin,United States President Republican Party,,,Ben Carson,301
Franklin,United States President Republican Party,,,Ted Cruz,982
Franklin,United States President Republican Party,,,John R. Kasich,370
Franklin,United States President Republican Party,,,Donald J. Trump,4738
Garfield,United States President Democratic Party,,,Hillary Clinton,94
Garfield,United States President Democratic Party,,,Bernie Sanders,93
Garfield,United States President Republican Party,,,Ben Carson,19
Garfield,United States President Republican Party,,,Ted Cruz,87
Garfield,United States President Republican Party,,,John R. Kasich,39
Garfield,United States President Republican Party,,,Donald J. Trump,321
Grant,United States President Democratic Party,,,Hillary Clinton,2377
Grant,United States President Democratic Party,,,Bernie Sanders,2085
Grant,United States President Republican Party,,,Ben Carson,460
Grant,United States President Republican Party,,,Ted Cruz,931
Grant,United States President Republican Party,,,John R. Kasich,496
Grant,United States President Republican Party,,,Donald J. Trump,7970
Grays Harbor,United States President Democratic Party,,,Hillary Clinton,3652
Grays Harbor,United States President Democratic Party,,,Bernie Sanders,3610
Grays Harbor,United States President Republican Party,,,Ben Carson,229
Grays Harbor,United States President Republican Party,,,Ted Cruz,413
Grays Harbor,United States President Republican Party,,,John R. Kasich,384
Grays Harbor,United States President Republican Party,,,Donald J. Trump,5508
Island,United States President Democratic Party,,,Hillary Clinton,6518
Island,United States President Democratic Party,,,Bernie Sanders,5920
Island,United States President Republican Party,,,Ben Carson,403
Island,United States President Republican Party,,,Ted Cruz,1558
Island,United States President Republican Party,,,John R. Kasich,1458
Island,United States President Republican Party,,,Donald J. Trump,7529
Jefferson,United States President Democratic Party,,,Hillary Clinton,3859
Jefferson,United States President Democratic Party,,,Bernie Sanders,4674
Jefferson,United States President Republican Party,,,Ben Carson,139
Jefferson,United States President Republican Party,,,Ted Cruz,247
Jefferson,United States President Republican Party,,,John R. Kasich,439
Jefferson,United States President Republican Party,,,Donald J. Trump,2706
King,United States President Democratic Party,,,Hillary Clinton,160699
King,United States President Democratic Party,,,Bernie Sanders,119431
King,United States President Republican Party,,,Ben Carson,3488
King,United States President Republican Party,,,Ted Cruz,11237
King,United States President Republican Party,,,John R. Kasich,16464
King,United States President Republican Party,,,Donald J. Trump,75445
Kitsap,United States President Democratic Party,,,Hillary Clinton,16661
Kitsap,United States President Democratic Party,,,Bernie Sanders,16512
Kitsap,United States President Republican Party,,,Ben Carson,1078
Kitsap,United States President Republican Party,,,Ted Cruz,2835
Kitsap,United States President Republican Party,,,John R. Kasich,2631
Kitsap,United States President Republican Party,,,Donald J. Trump,17930
Kittitas,United States President Democratic Party,,,Hillary Clinton,1687
Kittitas,United States President Democratic Party,,,Bernie Sanders,1884
Kittitas,United States President Republican Party,,,Ben Carson,163
Kittitas,United States President Republican Party,,,Ted Cruz,377
Kittitas,United States President Republican Party,,,John R. Kasich,330
Kittitas,United States President Republican Party,,,Donald J. Trump,4027
Klickitat,United States President Democratic Party,,,Hillary Clinton,1228
Klickitat,United States President Democratic Party,,,Bernie Sanders,1571
Klickitat,United States President Republican Party,,,Ben Carson,149
Klickitat,United States President Republican Party,,,Ted Cruz,348
Klickitat,United States President Republican Party,,,John R. Kasich,246
Klickitat,United States President Republican Party,,,Donald J. Trump,2757
Lewis,United States President Democratic Party,,,Hillary Clinton,2771
Lewis,United States President Democratic Party,,,Bernie Sanders,3310
Lewis,United States President Republican Party,,,Ben Carson,426
Lewis,United States President Republican Party,,,Ted Cruz,1018
Lewis,United States President Republican Party,,,John R. Kasich,599
Lewis,United States President Republican Party,,,Donald J. Trump,9254
Lincoln,United States President Democratic Party,,,Hillary Clinton,426
Lincoln,United States President Democratic Party,,,Bernie Sanders,365
Lincoln,United States President Republican Party,,,Ben Carson,118
Lincoln,United States President Republican Party,,,Ted Cruz,254
Lincoln,United States President Republican Party,,,John R. Kasich,141
Lincoln,United States President Republican Party,,,Donald J. Trump,1816
Mason,United States President Democratic Party,,,Hillary Clinton,3768
Mason,United States President Democratic Party,,,Bernie Sanders,3763
Mason,United States President Republican Party,,,Ben Carson,241
Mason,United States President Republican Party,,,Ted Cruz,716
Mason,United States President Republican Party,,,John R. Kasich,513
Mason,United States President Republican Party,,,Donald J. Trump,5706
Okanogan,United States President Democratic Party,,,Hillary Clinton,1618
Okanogan,United States President Democratic Party,,,Bernie Sanders,2174
Okanogan,United States President Republican Party,,,Ben Carson,209
Okanogan,United States President Republican Party,,,Ted Cruz,437
Okanogan,United States President Republican Party,,,John R. Kasich,298
Okanogan,United States President Republican Party,,,Donald J. Trump,4356
Pacific,United States President Democratic Party,,,Hillary Clinton,1600
Pacific,United States President Democratic Party,,,Bernie Sanders,1542
Pacific,United States President Republican Party,,,Ben Carson,98
Pacific,United States President Republican Party,,,Ted Cruz,235
Pacific,United States President Republican Party,,,John R. Kasich,187
Pacific,United States President Republican Party,,,Donald J. Trump,2401
Pend Oreille,United States President Democratic Party,,,Hillary Clinton,672
Pend Oreille,United States President Democratic Party,,,Bernie Sanders,780
Pend Oreille,United States President Republican Party,,,Ben Carson,109
Pend Oreille,United States President Republican Party,,,Ted Cruz,239
Pend Oreille,United States President Republican Party,,,John R. Kasich,116
Pend Oreille,United States President Republican Party,,,Donald J. Trump,2001
Pierce,United States President Democratic Party,,,Hillary Clinton,41435
Pierce,United States President Democratic Party,,,Bernie Sanders,35874
Pierce,United States President Republican Party,,,Ben Carson,2570
Pierce,United States President Republican Party,,,Ted Cruz,7167
Pierce,United States President Republican Party,,,John R. Kasich,6130
Pierce,United States President Republican Party,,,Donald J. Trump,50434
San Juan,United States President Democratic Party,,,Hillary Clinton,1860
San Juan,United States President Democratic Party,,,Bernie Sanders,2729
San Juan,United States President Republican Party,,,Ben Carson,58
San Juan,United States President Republican Party,,,Ted Cruz,170
San Juan,United States President Republican Party,,,John R. Kasich,274
San Juan,United States President Republican Party,,,Donald J. Trump,1213
Skagit,United States President Democratic Party,,,Hillary Clinton,7397
Skagit,United States President Democratic Party,,,Bernie Sanders,7861
Skagit,United States President Republican Party,,,Ben Carson,478
Skagit,United States President Republican Party,,,Ted Cruz,1178
Skagit,United States President Republican Party,,,John R. Kasich,1143
Skagit,United States President Republican Party,,,Donald J. Trump,10037
Skamania,United States President Democratic Party,,,Hillary Clinton,603
Skamania,United States President Democratic Party,,,Bernie Sanders,851
Skamania,United States President Republican Party,,,Ben Carson,56
Skamania,United States President Republican Party,,,Ted Cruz,134
Skamania,United States President Republican Party,,,John R. Kasich,109
Skamania,United States President Republican Party,,,Donald J. Trump,1285
Snohomish,United States President Democratic Party,,,Hillary Clinton,42135
Snohomish,United States President Democratic Party,,,Bernie Sanders,40355
Snohomish,United States President Republican Party,,,Ben Carson,2314
Snohomish,United States President Republican Party,,,Ted Cruz,6639
Snohomish,United States President Republican Party,,,John R. Kasich,5660
Snohomish,United States President Republican Party,,,Donald J. Trump,43159
Spokane,United States President Democratic Party,,,Hillary Clinton,25111
Spokane,United States President Democratic Party,,,Bernie Sanders,25800
Spokane,United States President Republican Party,,,Ben Carson,2598
Spokane,United States President Republican Party,,,Ted Cruz,7081
Spokane,United States President Republican Party,,,John R. Kasich,4805
Spokane,United States President Republican Party,,,Donald J. Trump,41935
Stevens,United States President Democratic Party,,,Hillary Clinton,1753
Stevens,United States President Democratic Party,,,Bernie Sanders,2092
Stevens,United States President Republican Party,,,Ben Carson,371
Stevens,United States President Republican Party,,,Ted Cruz,859
Stevens,United States President Republican Party,,,John R. Kasich,363
Stevens,United States President Republican Party,,,Donald J. Trump,6412
Thurston,United States President Democratic Party,,,Hillary Clinton,16809
Thurston,United States President Democratic Party,,,Bernie Sanders,18006
Thurston,United States President Republican Party,,,Ben Carson,867
Thurston,United States President Republican Party,,,Ted Cruz,2395
