county,precinct_code,precinct,office,district,party,candidate,votes
King,13,ALG 30-0013,Auburn School District No. 408 Proposition No. 1,,,No,33
King,13,ALG 30-0013,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,460
King,13,ALG 30-0013,Auburn School District No. 408 Proposition No. 1,,,Yes,51
King,14,ALG 30-0014,Auburn School District No. 408 Proposition No. 1,,,No,47
King,14,ALG 30-0014,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,491
King,14,ALG 30-0014,Auburn School District No. 408 Proposition No. 1,,,Yes,51
King,3141,ALG 30-3141,Auburn School District No. 408 Proposition No. 1,,,No,51
King,3141,ALG 30-3141,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,525
King,3141,ALG 30-3141,Auburn School District No. 408 Proposition No. 1,,,Yes,48
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 1,,,No,68
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 1,,,Registered Voters,735
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 1,,,Yes,92
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 2,,,No,69
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 2,,,Registered Voters,735
King,22,ANGEL CITY,Renton School District No. 403 Proposition No. 2,,,Yes,90
King,2384,ANGELO,Federal Way School District No. 210 Proposition No. 1,,,No,59
King,2384,ANGELO,Federal Way School District No. 210 Proposition No. 1,,,Registered Voters,449
King,2384,ANGELO,Federal Way School District No. 210 Proposition No. 1,,,Yes,67
King,46,AUB 30-0046,Auburn School District No. 408 Proposition No. 1,,,No,32
King,46,AUB 30-0046,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,341
King,46,AUB 30-0046,Auburn School District No. 408 Proposition No. 1,,,Yes,44
King,53,AUB 30-0053,Auburn School District No. 408 Proposition No. 1,,,No,42
King,53,AUB 30-0053,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,469
King,53,AUB 30-0053,Auburn School District No. 408 Proposition No. 1,,,Yes,57
King,67,AUB 30-0067,Auburn School District No. 408 Proposition No. 1,,,No,28
King,67,AUB 30-0067,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,374
King,67,AUB 30-0067,Auburn School District No. 408 Proposition No. 1,,,Yes,44
King,67,AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,,,No,9
King,67,AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,,,Registered Voters,101
King,67,AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,,,Yes,18
King,2702,AUB 30-2702,Auburn School District No. 408 Proposition No. 1,,,No,27
King,2702,AUB 30-2702,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,449
King,2702,AUB 30-2702,Auburn School District No. 408 Proposition No. 1,,,Yes,48
King,2703,AUB 30-2703,Auburn School District No. 408 Proposition No. 1,,,No,6
King,2703,AUB 30-2703,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,269
King,2703,AUB 30-2703,Auburn School District No. 408 Proposition No. 1,,,Yes,24
King,3476,AUB 30-3476,Auburn School District No. 408 Proposition No. 1,,,No,8
King,3476,AUB 30-3476,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,279
King,3476,AUB 30-3476,Auburn School District No. 408 Proposition No. 1,,,Yes,29
King,3477,AUB 30-3477,Auburn School District No. 408 Proposition No. 1,,,No,15
King,3477,AUB 30-3477,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,186
King,3477,AUB 30-3477,Auburn School District No. 408 Proposition No. 1,,,Yes,12
King,42,AUB 31-0042,Auburn School District No. 408 Proposition No. 1,,,No,82
King,42,AUB 31-0042,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,517
King,42,AUB 31-0042,Auburn School District No. 408 Proposition No. 1,,,Yes,65
King,47,AUB 31-0047,Auburn School District No. 408 Proposition No. 1,,,No,61
King,47,AUB 31-0047,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,588
King,47,AUB 31-0047,Auburn School District No. 408 Proposition No. 1,,,Yes,80
King,48,AUB 31-0048,Auburn School District No. 408 Proposition No. 1,,,No,16
King,48,AUB 31-0048,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,215
King,48,AUB 31-0048,Auburn School District No. 408 Proposition No. 1,,,Yes,18
King,49,AUB 31-0049,Auburn School District No. 408 Proposition No. 1,,,No,60
King,49,AUB 31-0049,Auburn School District No. 408 Proposition No. 1,,,Registered Voters,471
King,49,AUB 31-0049,Auburn School District No. 408 Proposition No. 1,,,Yes,50
