county,office,district,party,candidate,votes
Adams,Referendum Measure 90,,,Approved,1768
Adams,Referendum Measure 90,,,Rejected,3947
Adams,State Advisory Vote 2,,,Repealed,4626
Adams,State Advisory Vote 2,,,Maintained,969
Adams,State Advisory Vote 3,,,Repealed,4457
Adams,State Advisory Vote 3,,,Maintained,1119
Adams,State Advisory Vote 4,,,Repealed,4550
Adams,State Advisory Vote 4,,,Maintained,993
Adams,State Advisory Vote 5,,,Repealed,4025
Adams,State Advisory Vote 5,,,Maintained,1498
Adams,Washington State Engrossed Senate Joint Resolution No. 8212,,,Approved,1685
Adams,Washington State Engrossed Senate Joint Resolution No. 8212,,,Rejected,3868
Adams,President / Vice President,,Democratic,Joseph R. Biden / Kamala D. Harris,1814
Adams,President / Vice President,,Republican,Donald J. Trump / Michael R. Pence,3907
Adams,President / Vice President,,Libertarian,"Jo Jorgensen / Jeremy ""Spike"" Cohen",82
Adams,President / Vice President,,Green,Howie Hawkins / Angela Walker,18
Adams,President / Vice President,,Socialism and Liberation,Gloria La Riva / Sunil Freeman,10
Adams,President / Vice President,,Socialist Workers,Alyson Kennedy / Malcolm M. Jarrett,5
Adams,President / Vice President,,,Write-in,26
Adams,U.S. Representative,4,Republican,Dan Newhouse,4265
Adams,U.S. Representative,4,Democratic,Douglas E. McKinley,1488
Adams,U.S. Representative,4,,Write-in,8
Adams,Governor,,Democratic,Jay Inslee,1655
Adams,Governor,,Republican,Loren Culp,4170
Adams,Governor,,,Write-in,15
Adams,Lt. Governor,,Democratic,Denny Heck,1745
Adams,Lt. Governor,,Democratic,Marko Liias,1263
Adams,Lt. Governor,,,Write-in,1912
Adams,Secretary of State,,Republican,Kim Wyman,4188
Adams,Secretary of State,,Democratic,Gael Tarleton,1473
Adams,Secretary of State,,,Write-in,19
Adams,State Treasurer,,Democratic,Mike Pellicciotti,1601
Adams,State Treasurer,,Republican,Duane A. Davidson,4007
Adams,State Treasurer,,,Write-in,7
Adams,State Auditor,,Democratic,Pat (Patrice) McCarthy,1828
Adams,State Auditor,,Republican,Chris Leyba,3804
Adams,State Auditor,,,Write-in,9
Adams,Attorney General,,Democratic,Bob Ferguson,1772
Adams,Attorney General,,Republican,Matt Larkin,3876
Adams,Attorney General,,,Write-in,7
Adams,Commissioner of Public Lands,,Democratic,Hilary Franz,1791
Adams,Commissioner of Public Lands,,Republican,Sue Kuehl Pederson,3829
Adams,Commissioner of Public Lands,,,Write-in,11
Adams,Superintendent of Public Instruction,,,Chris Reykdal,2205
Adams,Superintendent of Public Instruction,,,Maia Espinoza,2976
Adams,Superintendent of Public Instruction,,,Write-in,31
Adams,Insurance Commissioner,,Democratic,Mike Kreidler,2187
Adams,Insurance Commissioner,,Republican,Chirayu Avinash Patel,3293
Adams,Insurance Commissioner,,,Write-in,22
Adams,State Senator,9,GOP,Mark G. Schoesler,4124
Adams,State Senator,9,Democratic,Jenn Goulet,1428
Adams,State Senator,9,,Write-in,40
Adams,State Representative Pos. 1,9,Republican,Mary Dye,4424
Adams,State Representative Pos. 1,9,Libertarian,Brett Borden,1102
Adams,State Representative Pos. 1,9,,Write-in,26
Adams,State Representative Pos. 2,9,GOP,Joe Schmick,4888
Adams,State Representative Pos. 2,9,,Write-in,137
Adams,County Commissioner District 1,,Republican,Dan Blankenship,3413
Adams,County Commissioner District 1,,Republican,John N Marshall,1905
Adams,County Commissioner District 1,,,Write-in,73
Adams,County Commissioner District 2,,Republican,Jay R Weise,3921
Adams,County Commissioner District 2,,Republican,Ken Johnson,1455
