county,office,district,party,candidate,votes
Adams,President,,Democratic Party,Michael Bennet,3
Adams,President,,Democratic Party,Joseph R. Biden,315
Adams,President,,Democratic Party,Michael Bloomberg,131
Adams,President,,Democratic Party,Cory Booker,0
Adams,President,,Democratic Party,Pete Buttigieg,26
Adams,President,,Democratic Party,John Delaney,5
Adams,President,,Democratic Party,Tulsi Gabbard,11
Adams,President,,Democratic Party,Amy Klobuchar,24
Adams,President,,Democratic Party,Deval Patrick,1
Adams,President,,Democratic Party,Bernie Sanders,322
Adams,President,,Democratic Party,Tom Steyer,6
Adams,President,,Democratic Party,Elizabeth Warren,60
Adams,President,,Democratic Party,Andrew Yang,7
Adams,President,,Democratic Party,Uncommitted Delegates,7
Adams,President,,Democratic Party,Write-in,0
Adams,President,,Republican Party,Donald J. Trump,1928
Adams,President,,Republican Party,Write-in,0
Asotin,President,,Democratic Party,Michael Bennet,4
Asotin,President,,Democratic Party,Joseph R. Biden,1148
Asotin,President,,Democratic Party,Michael Bloomberg,414
Asotin,President,,Democratic Party,Cory Booker,4
Asotin,President,,Democratic Party,Pete Buttigieg,177
Asotin,President,,Democratic Party,John Delaney,3
Asotin,President,,Democratic Party,Tulsi Gabbard,41
Asotin,President,,Democratic Party,Amy Klobuchar,91
Asotin,President,,Democratic Party,Deval Patrick,2
Asotin,President,,Democratic Party,Bernie Sanders,730
Asotin,President,,Democratic Party,Tom Steyer,19
Asotin,President,,Democratic Party,Elizabeth Warren,203
Asotin,President,,Democratic Party,Andrew Yang,20
Asotin,President,,Democratic Party,Uncommitted Delegates,28
Asotin,President,,Democratic Party,Write-in,8
Asotin,President,,Republican Party,Donald J. Trump,3771
Asotin,President,,Republican Party,Write-in,51
Benton,President,,Democratic Party,Michael Bennet,41
Benton,President,,Democratic Party,Joseph R. Biden,9003
Benton,President,,Democratic Party,Michael Bloomberg,2329
Benton,President,,Democratic Party,Cory Booker,31
Benton,President,,Democratic Party,Pete Buttigieg,1165
Benton,President,,Democratic Party,John Delaney,20
Benton,President,,Democratic Party,Tulsi Gabbard,343
Benton,President,,Democratic Party,Amy Klobuchar,619
Benton,President,,Democratic Party,Deval Patrick,10
Benton,President,,Democratic Party,Bernie Sanders,7458
Benton,President,,Democratic Party,Tom Steyer,85
Benton,President,,Democratic Party,Elizabeth Warren,1654
Benton,President,,Democratic Party,Andrew Yang,121
Benton,President,,Democratic Party,Uncommitted Delegates,167
Benton,President,,Democratic Party,Write-in,67
Benton,President,,Republican Party,Donald J. Trump,27055
Benton,President,,Republican Party,Write-in,457
Chelan,President,,Democratic Party,Michael Bennet,29
Chelan,President,,Democratic Party,Joseph R. Biden,4813
Chelan,President,,Democratic Party,Michael Bloomberg,1171
Chelan,President,,Democratic Party,Cory Booker,12
Chelan,President,,Democratic Party,Pete Buttigieg,663
Chelan,President,,Democratic Party,John Delaney,3
Chelan,President,,Democratic Party,Tulsi Gabbard,134
Chelan,President,,Democratic Party,Amy Klobuchar,359
Chelan,President,,Democratic Party,Deval Patrick,5
Chelan,President,,Democratic Party,Bernie Sanders,4192
Chelan,President,,Democratic Party,Tom Steyer,47
Chelan,President,,Democratic Party,Elizabeth Warren,980
Chelan,President,,Democratic Party,Andrew Yang,50
Chelan,President,,Democratic Party,Uncommitted Delegates,64
Chelan,President,,Democratic Party,Write-in,8
Chelan,President,,Republican Party,Donald J. Trump,11535
Chelan,President,,Republican Party,Write-in,144
Clallam,President,,Democratic Party,Michael Bennet,31
Clallam,President,,Democratic Party,Joseph R. Biden,7255
Clallam,President,,Democratic Party,Michael Bloomberg,1910
Clallam,President,,Democratic Party,Cory Booker,17
Clallam,President,,Democratic Party,Pete Buttigieg,921
Clallam,President,,Democratic Party,John Delaney,10
Clallam,President,,Democratic Party,Tulsi Gabbard,220
Clallam,President,,Democratic Party,Amy Klobuchar,632
Clallam,President,,Democratic Party,Deval Patrick,8
Clallam,President,,Democratic Party,Bernie Sanders,5588
Clallam,President,,Democratic Party,Tom Steyer,65
Clallam,President,,Democratic Party,Elizabeth Warren,1789
Clallam,President,,Democratic Party,Andrew Yang,65
Clallam,President,,Democratic Party,Uncommitted Delegates,114
Clallam,President,,Democratic Party,Write-in,19
Clallam,President,,Republican Party,Donald J. Trump,12122
Clallam,President,,Republican Party,Write-in,174
Clark,President,,Democratic Party,Michael Bennet,137
Clark,President,,Democratic Party,Joseph R. Biden,32525
