county,precinct_code,precinct,office,district,party,candidate,votes
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Registered Voters,503
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,No,25
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Yes,62
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Registered Voters,503
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,No,21
King,1,SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Yes,62
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Registered Voters,471
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,No,78
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Yes,75
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Registered Voters,471
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,No,69
King,3,LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Yes,79
King,9,BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Registered Voters,304
King,9,BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,No,33
King,9,BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Yes,34
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Registered Voters,471
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,No,85
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Yes,102
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Registered Voters,471
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Approved,94
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Rejected,93
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Registered Voters,471
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Yes,98
King,10,ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,No,86
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,Registered Voters,335
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,Yes,38
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,No,17
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,Registered Voters,335
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,Yes,40
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,No,16
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,Registered Voters,335
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,No,19
King,11,BEL 41-0011,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,Yes,36
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Registered Voters,435
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,No,23
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Yes,70
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Registered Voters,435
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,No,21
King,12,SHL 32-0012,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Yes,61
King,13,ALG 30-0013,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Registered Voters,481
King,13,ALG 30-0013,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Yes,52
King,13,ALG 30-0013,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,No,18
King,14,ALG 30-0014,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Registered Voters,522
King,14,ALG 30-0014,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Yes,70
King,14,ALG 30-0014,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,No,19
King,14,ALG 30-0014,Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1,,,Registered Voters,0
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,No,144
King,14,ALG 30-0014,Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1,,,Yes,0
King,14,ALG 30-0014,Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1,,,No,0
King,16,DES 33-0016,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Registered Voters,284
King,16,DES 33-0016,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,No,63
King,16,DES 33-0016,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Yes,56
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,Registered Voters,607
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,Yes,74
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3,,,No,70
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,Registered Voters,607
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,Yes,64
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1,,,No,78
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,Registered Voters,607
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,No,80
King,17,BEL 41-0017,Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2,,,Yes,64
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Registered Voters,762
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Yes,175
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Registered Voters,762
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Approved,170
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Rejected,151
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Registered Voters,762
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Yes,178
King,19,KIR 01-0019,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,No,145
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Registered Voters,457
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,No,51
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Yes,106
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Registered Voters,457
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,No,47
King,24,SHL 32-0024,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Yes,106
King,25,BUR 34-0025,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Registered Voters,857
King,25,BUR 34-0025,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,No,73
King,25,BUR 34-0025,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Yes,141
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,Registered Voters,384
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,No,43
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,Yes,52
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,Registered Voters,384
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,Yes,52
King,26,KEN 47-0026,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,No,41
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,Registered Voters,545
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,No,73
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 1,,,Yes,85
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,Registered Voters,545
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,Yes,72
King,28,KEN 47-0028,Kent School District No. 415 Kent School District No. 415 Proposition No. 2,,,No,82
King,33,BUR 34-0033,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Registered Voters,741
King,33,BUR 34-0033,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,No,88
King,33,BUR 34-0033,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,,,Yes,94
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2,,,Registered Voters,633
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2,,,Approved,172
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2,,,Rejected,74
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Registered Voters,21
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,No,2
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,,,Yes,2
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3,,,Registered Voters,633
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3,,,Yes,168
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3,,,No,74
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Registered Voters,21
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Approved,2
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3,,,Rejected,2
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Registered Voters,21
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,Yes,2
King,36,KMR 46-0036,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1,,,No,2
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1,,,Registered Voters,633
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1,,,Yes,178
King,36,KMR 46-0036,Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1,,,No,68
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3,,,Registered Voters,409
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3,,,No,79
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3,,,Yes,75
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2,,,Registered Voters,409
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2,,,No,85
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2,,,Yes,69
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1,,,Registered Voters,409
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1,,,Yes,66
King,37,ARTHUR,Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1,,,No,88
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1,,,Registered Voters,245
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1,,,Yes,26
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1,,,No,66
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3,,,Registered Voters,245
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3,,,Yes,28
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3,,,No,58
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 2,,,Registered Voters,245
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 2,,,No,61
King,37,ARTHUR,Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 2,,,Yes,31
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Registered Voters,521
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,No,60
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,,,Yes,105
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Registered Voters,521
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,No,53
King,38,SHL 32-0038,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,,,Yes,102
King,41,AUB 47-0041,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Registered Voters,889
King,41,AUB 47-0041,Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1,,,Yes,162
