county,office,district,party,candidate,votes
Chelan,WENATCHEE SCHOOL DISTRICT NO. 246 PROPOSITION NO. 1 BONDS TO EXPAND AND MODERNIZE WENATCHEE HIGH SCHOOL,,,APPROVED,5474
Chelan,WENATCHEE SCHOOL DISTRICT NO. 246 PROPOSITION NO. 1 BONDS TO EXPAND AND MODERNIZE WENATCHEE HIGH SCHOOL,,,REJECTED,4116
Chelan,FIRE DISTRICT NO. 7 PROPOSITION NO. 1 AUTHORIZING PROPERTY TAX LEVY LID LIFT FOR FIRE AND EMERGENCY SERVICES,,,Yes,814
Chelan,FIRE DISTRICT NO. 7 PROPOSITION NO. 1 AUTHORIZING PROPERTY TAX LEVY LID LIFT FOR FIRE AND EMERGENCY SERVICES,,,No,1231
Chelan,MANSON PARKS AND RECREATION DISTRICT PROPOSITION NO. 1 MAINTENANCE AND OPERATION FUNDING,,,Yes,607
Chelan,MANSON PARKS AND RECREATION DISTRICT PROPOSITION NO. 1 MAINTENANCE AND OPERATION FUNDING,,,No,251
Clark,"BATTLE GROUND SCHOOL DISTRICT NO. 119 Proposition 4 Bonds to construct, replace and renovate school facilities and improve safety",,,Approved,10173
Clark,"BATTLE GROUND SCHOOL DISTRICT NO. 119 Proposition 4 Bonds to construct, replace and renovate school facilities and improve safety",,,Rejected,8710
Cowlitz,Castle Rock School District No. 401 Proposition 1 Facility Improvement General Obligation Bonds,,,Approved,1495
Cowlitz,Castle Rock School District No. 401 Proposition 1 Facility Improvement General Obligation Bonds,,,Rejected,1128
Douglas,BREWSTER SD Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy,,,Levy Yes,31
Douglas,BREWSTER SD Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy,,,Levy No,50
Ferry,SCHOOL DISTRICT 065 Replacement Educational Programs and Operation Levy,,,Levy Yes,61
Ferry,SCHOOL DISTRICT 065 Replacement Educational Programs and Operation Levy,,,Levy No,50
Grant,Moses Lake School Dist #161 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY,,,LEVY...YES,4564
Grant,Moses Lake School Dist #161 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY,,,LEVY...NO,3015
Grant,Wilson Creek School Dist #167 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY,,,LEVY...YES,95
Grant,Wilson Creek School Dist #167 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY,,,LEVY...NO,40
Grant,City of Ephrata Proposition No. 1 SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS,,,Yes,772
Grant,City of Ephrata Proposition No. 1 SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS,,,No,511
Island,SNO ISLE LIBRARY DISTRICT Proposition Number 1 - Levy Rate Proposition,,,Yes,13316
Island,SNO ISLE LIBRARY DISTRICT Proposition Number 1 - Levy Rate Proposition,,,No,8240
King,City of Kent Proposition A 2% Utility Tax Increase for Police and Criminal Justice Services,,,Approved,6209
King,City of Kent Proposition A 2% Utility Tax Increase for Police and Criminal Justice Services,,,Rejected,8305
King,Tahoma School District No. 409 Proposition No. 1 Replacement of Expiring Educational Programs and Operations Levy,,,Yes,8166
King,Tahoma School District No. 409 Proposition No. 1 Replacement of Expiring Educational Programs and Operations Levy,,,No,4621
King,King County Fire Protection District No. 45 Proposition No. 1 Bonds to Construct and Renovate Fire Stations,,,Approved,1384
King,King County Fire Protection District No. 45 Proposition No. 1 Bonds to Construct and Renovate Fire Stations,,,Rejected,944
King,Puget Sound Regional Fire Authority Proposition No. 1,,,Approved,7894
King,Puget Sound Regional Fire Authority Proposition No. 1,,,Rejected,10538
Kittitas,PORT DISTRICT Proposition No. 1,,,Yes,2028
Kittitas,PORT DISTRICT Proposition No. 1,,,No,5682
Kittitas,SELAH SCHOOL DISTRICT 119 Proposition No. 1 Bonds to Replace and Restructure John Campbell Primary School,,,Approved,5
Kittitas,SELAH SCHOOL DISTRICT 119 Proposition No. 1 Bonds to Replace and Restructure John Campbell Primary School,,,Rejected,9
Klickitat,ROOSEVELT SCHOOL DISTRICT # 403 Proposition No. 1 Educational Programs and Operations Levy,,,Yes,33
Klickitat,ROOSEVELT SCHOOL DISTRICT # 403 Proposition No. 1 Educational Programs and Operations Levy,,,No,26
Lewis,Castle Rock School District #401 Proposition 1 Facility Improvement General Obligation Bonds,,,Approved,108
Lewis,Castle Rock School District #401 Proposition 1 Facility Improvement General Obligation Bonds,,,Rejected,191
Lincoln,WILSON CREEK SCHOOL DISTRICT 202 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY,,,LEVY...YES,0
