firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Adams,1274
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Asotin,2020
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Benton,13197
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Chelan,6094
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Clallam,9196
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Clark,25753
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Columbia,537
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Cowlitz,11072
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Douglas,2962
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Ferry,872
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Franklin,3247
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Garfield,343
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Grant,4879
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Grays Harbor,9496
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Island,9236
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Jefferson,5959
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,King,208461
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Kitsap,32368
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Kittitas,3254
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Klickitat,1420
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Lewis,6522
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Lincoln,1270
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Mason,7240
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Okanogan,3238
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Pacific,3222
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Pend Oreille,1680
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Pierce,79147
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,San Juan,2550
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Skagit,11280
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Skamania,933
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Snohomish,63698
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Spokane,47565
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Stevens,3806
Christine,Gregoire,Christine Gregoire,D,D,Attorney General,NA,,county,Thurston,33348
