county,precinct,office,district,party,candidate,votes,poll,abs
Jefferson,101 Gardiner 1,President,,D,Al Gore,111,111,0
Jefferson,102 Port Discovery,President,,D,Al Gore,55,55,0
Jefferson,103 Leland,President,,D,Al Gore,51,51,0
Jefferson,104 Woodman 1,President,,D,Al Gore,281,112,169
Jefferson,105 Woodman 2,President,,D,Al Gore,259,135,124
Jefferson,106 Woodman 3,President,,D,Al Gore,355,140,215
Jefferson,107 Woodman 4,President,,D,Al Gore,138,49,89
Jefferson,108 Tarboo,President,,D,Al Gore,2,2,
Jefferson,109 Crocker Lake,President,,D,Al Gore,25,25,
Jefferson,200 Coyle 1,President,,D,Al Gore,72,72,
Jefferson,201 Quilcene 1,President,,D,Al Gore,114,43,71
Jefferson,202 Quilcene 2,President,,D,Al Gore,124,60,64
Jefferson,203 Coyle 2,President,,D,Al Gore,48,48,
Jefferson,204 Brinnon,President,,D,Al Gore,383,96,287
Jefferson,206 Thorndyke,President,,D,Al Gore,20,20,
Jefferson,301 Chimacum,President,,D,Al Gore,329,140,189
Jefferson,302 Center,President,,D,Al Gore,244,131,113
Jefferson,303 Hadlock,President,,D,Al Gore,304,132,172
Jefferson,304 Kala Point,President,,D,Al Gore,361,160,201
Jefferson,305 Irondale,President,,D,Al Gore,212,76,136
Jefferson,306 Rhody,President,,D,Al Gore,215,111,104
Jefferson,401 Nordland,President,,D,Al Gore,286,115,171
Jefferson,501 Port Ludlow 1,President,,D,Al Gore,343,117,226
Jefferson,502 Port Ludlow 2,President,,D,Al Gore,196,63,133
Jefferson,503 Port Ludlow 3,President,,D,Al Gore,227,51,176
Jefferson,504 Paradise bay,President,,D,Al Gore,147,54,93
Jefferson,505 South Point,President,,D,Al Gore,185,67,118
Jefferson,600 Upper Hoh,President,,D,Al Gore,12,12,
Jefferson,601 Hoh,President,,D,Al Gore,19,19,
Jefferson,602 Kalaloch,President,,D,Al Gore,4,4,
Jefferson,603 Queets,President,,D,Al Gore,37,37,
Jefferson,604 Clearwater,President,,D,Al Gore,9,9,
Jefferson,701 Port Townsend 1,President,,D,Al Gore,170,86,84
Jefferson,702 Port Townsend 2,President,,D,Al Gore,216,95,121
Jefferson,703 Port Townsend 3,President,,D,Al Gore,242,99,143
Jefferson,704 Port Townsend 4,President,,D,Al Gore,201,90,111
Jefferson,705 Port Townsend 5,President,,D,Al Gore,331,130,201
Jefferson,706 Port Townsend 6,President,,D,Al Gore,265,122,143
Jefferson,707 Port Townsend 7,President,,D,Al Gore,366,152,214
Jefferson,708 Port Townsend 8,President,,D,Al Gore,354,150,204
Jefferson,709 Port Townsend 9,President,,D,Al Gore,291,124,167
Jefferson,710 Port Townsend 10,President,,D,Al Gore,211,114,97
Jefferson,711 Port Townsend 11,President,,D,Al Gore,156,78,78
Jefferson,712 Port Townsend 12,President,,D,Al Gore,310,139,171
Jefferson,,President,,D,Al Gore,8281,3696,4585
Jefferson,101 Gardiner 1,President,,R,George Bush,81,81,0
Jefferson,102 Port Discovery,President,,R,George Bush,66,66,0
Jefferson,103 Leland,President,,R,George Bush,29,29,0
Jefferson,104 Woodman 1,President,,R,George Bush,207,88,119
Jefferson,105 Woodman 2,President,,R,George Bush,138,60,78
Jefferson,106 Woodman 3,President,,R,George Bush,218,82,136
Jefferson,107 Woodman 4,President,,R,George Bush,80,34,46
Jefferson,108 Tarboo,President,,R,George Bush,6,6,
Jefferson,109 Crocker Lake,President,,R,George Bush,30,30,
Jefferson,200 Coyle 1,President,,R,George Bush,35,35,
Jefferson,201 Quilcene 1,President,,R,George Bush,148,67,81
Jefferson,202 Quilcene 2,President,,R,George Bush,148,69,79
Jefferson,203 Coyle 2,President,,R,George Bush,18,18,
Jefferson,204 Brinnon,President,,R,George Bush,365,97,268
Jefferson,206 Thorndyke,President,,R,George Bush,19,19,
Jefferson,301 Chimacum,President,,R,George Bush,285,114,171
Jefferson,302 Center,President,,R,George Bush,166,67,99
Jefferson,303 Hadlock,President,,R,George Bush,291,102,189
Jefferson,304 Kala Point,President,,R,George Bush,340,118,222
Jefferson,305 Irondale,President,,R,George Bush,155,55,100
Jefferson,306 Rhody,President,,R,George Bush,169,86,83
Jefferson,401 Nordland,President,,R,George Bush,250,111,139
Jefferson,501 Port Ludlow 1,President,,R,George Bush,492,136,356
Jefferson,502 Port Ludlow 2,President,,R,George Bush,194,65,129
Jefferson,503 Port Ludlow 3,President,,R,George Bush,430,109,321
Jefferson,504 Paradise bay,President,,R,George Bush,130,54,76
Jefferson,505 South Point,President,,R,George Bush,199,72,127
Jefferson,600 Upper Hoh,President,,R,George Bush,27,27,
Jefferson,601 Hoh,President,,R,George Bush,17,17,
Jefferson,602 Kalaloch,President,,R,George Bush,4,4,
Jefferson,603 Queets,President,,R,George Bush,6,6,
Jefferson,604 Clearwater,President,,R,George Bush,18,18,
Jefferson,701 Port Townsend 1,President,,R,George Bush,84,41,43
Jefferson,702 Port Townsend 2,President,,R,George Bush,90,20,70
Jefferson,703 Port Townsend 3,President,,R,George Bush,73,23,50
Jefferson,704 Port Townsend 4,President,,R,George Bush,47,9,38
Jefferson,705 Port Townsend 5,President,,R,George Bush,166,53,113
Jefferson,706 Port Townsend 6,President,,R,George Bush,58,18,40
Jefferson,707 Port Townsend 7,President,,R,George Bush,171,71,100
Jefferson,708 Port Townsend 8,President,,R,George Bush,137,56,81
Jefferson,709 Port Townsend 9,President,,R,George Bush,115,26,89
Jefferson,710 Port Townsend 10,President,,R,George Bush,126,63,63
Jefferson,711 Port Townsend 11,President,,R,George Bush,119,54,65
Jefferson,712 Port Townsend 12,President,,R,George Bush,148,79,69
Jefferson,,President,,R,George Bush,6095,2455,3640
Jefferson,101 Gardiner 1,President,,L,Harry Browne,3,3,0
Jefferson,102 Port Discovery,President,,L,Harry Browne,2,2,0
Jefferson,103 Leland,President,,L,Harry Browne,1,1,0
Jefferson,104 Woodman 1,President,,L,Harry Browne,2,1,1
Jefferson,105 Woodman 2,President,,L,Harry Browne,1,0,1
Jefferson,106 Woodman 3,President,,L,Harry Browne,6,3,3
Jefferson,107 Woodman 4,President,,L,Harry Browne,3,1,2
Jefferson,108 Tarboo,President,,L,Harry Browne,2,2,
Jefferson,109 Crocker Lake,President,,L,Harry Browne,0,0,
Jefferson,200 Coyle 1,President,,L,Harry Browne,0,0,
Jefferson,201 Quilcene 1,President,,L,Harry Browne,3,1,2
Jefferson,202 Quilcene 2,President,,L,Harry Browne,3,2,1
Jefferson,203 Coyle 2,President,,L,Harry Browne,0,0,
Jefferson,204 Brinnon,President,,L,Harry Browne,12,8,4
Jefferson,206 Thorndyke,President,,L,Harry Browne,0,0,
Jefferson,301 Chimacum,President,,L,Harry Browne,4,2,2
Jefferson,302 Center,President,,L,Harry Browne,7,5,2
Jefferson,303 Hadlock,President,,L,Harry Browne,6,2,4
Jefferson,304 Kala Point,President,,L,Harry Browne,2,1,1
Jefferson,305 Irondale,President,,L,Harry Browne,0,0,0
Jefferson,306 Rhody,President,,L,Harry Browne,8,5,3
Jefferson,401 Nordland,President,,L,Harry Browne,2,0,2
Jefferson,501 Port Ludlow 1,President,,L,Harry Browne,5,4,1
Jefferson,502 Port Ludlow 2,President,,L,Harry Browne,4,3,1
Jefferson,503 Port Ludlow 3,President,,L,Harry Browne,1,0,1
Jefferson,504 Paradise bay,President,,L,Harry Browne,0,0,0
Jefferson,505 South Point,President,,L,Harry Browne,1,0,1
Jefferson,600 Upper Hoh,President,,L,Harry Browne,1,1,
Jefferson,601 Hoh,President,,L,Harry Browne,0,0,
Jefferson,602 Kalaloch,President,,L,Harry Browne,0,0,
Jefferson,603 Queets,President,,L,Harry Browne,0,0,
Jefferson,604 Clearwater,President,,L,Harry Browne,2,2,
Jefferson,701 Port Townsend 1,President,,L,Harry Browne,5,3,2
Jefferson,702 Port Townsend 2,President,,L,Harry Browne,3,2,1
Jefferson,703 Port Townsend 3,President,,L,Harry Browne,7,4,3
Jefferson,704 Port Townsend 4,President,,L,Harry Browne,2,1,1
Jefferson,705 Port Townsend 5,President,,L,Harry Browne,4,1,3
Jefferson,706 Port Townsend 6,President,,L,Harry Browne,5,3,2
Jefferson,707 Port Townsend 7,President,,L,Harry Browne,6,1,5
Jefferson,708 Port Townsend 8,President,,L,Harry Browne,3,0,3
Jefferson,709 Port Townsend 9,President,,L,Harry Browne,2,1,1
Jefferson,710 Port Townsend 10,President,,L,Harry Browne,0,0,0
Jefferson,711 Port Townsend 11,President,,L,Harry Browne,1,1,0
Jefferson,712 Port Townsend 12,President,,L,Harry Browne,0,0,0
Jefferson,,President,,L,Harry Browne,119,66,53
Jefferson,101 Gardiner 1,President,,S,David McReynolds,0,0,0
Jefferson,102 Port Discovery,President,,S,David McReynolds,0,0,0
Jefferson,103 Leland,President,,S,David McReynolds,1,1,0
Jefferson,104 Woodman 1,President,,S,David McReynolds,1,0,1
Jefferson,105 Woodman 2,President,,S,David McReynolds,0,0,0
Jefferson,106 Woodman 3,President,,S,David McReynolds,1,0,1
Jefferson,107 Woodman 4,President,,S,David McReynolds,0,0,0
Jefferson,108 Tarboo,President,,S,David McReynolds,0,0,
Jefferson,109 Crocker Lake,President,,S,David McReynolds,0,0,
Jefferson,200 Coyle 1,President,,S,David McReynolds,0,0,
Jefferson,201 Quilcene 1,President,,S,David McReynolds,0,0,0
Jefferson,202 Quilcene 2,President,,S,David McReynolds,0,0,0
Jefferson,203 Coyle 2,President,,S,David McReynolds,0,0,
Jefferson,204 Brinnon,President,,S,David McReynolds,0,0,0
Jefferson,206 Thorndyke,President,,S,David McReynolds,0,0,
Jefferson,301 Chimacum,President,,S,David McReynolds,0,0,0
Jefferson,302 Center,President,,S,David McReynolds,0,0,0
Jefferson,303 Hadlock,President,,S,David McReynolds,0,0,0
Jefferson,304 Kala Point,President,,S,David McReynolds,0,0,0
Jefferson,305 Irondale,President,,S,David McReynolds,0,0,0
Jefferson,306 Rhody,President,,S,David McReynolds,0,0,0
Jefferson,401 Nordland,President,,S,David McReynolds,0,0,0
Jefferson,501 Port Ludlow 1,President,,S,David McReynolds,0,0,0
Jefferson,502 Port Ludlow 2,President,,S,David McReynolds,0,0,0
Jefferson,503 Port Ludlow 3,President,,S,David McReynolds,0,0,0
Jefferson,504 Paradise bay,President,,S,David McReynolds,0,0,0
Jefferson,505 South Point,President,,S,David McReynolds,0,0,0
Jefferson,600 Upper Hoh,President,,S,David McReynolds,0,0,
Jefferson,601 Hoh,President,,S,David McReynolds,0,0,
Jefferson,602 Kalaloch,President,,S,David McReynolds,0,0,
Jefferson,603 Queets,President,,S,David McReynolds,0,0,
Jefferson,604 Clearwater,President,,S,David McReynolds,0,0,
Jefferson,701 Port Townsend 1,President,,S,David McReynolds,0,0,0
Jefferson,702 Port Townsend 2,President,,S,David McReynolds,0,0,0
Jefferson,703 Port Townsend 3,President,,S,David McReynolds,0,0,0
