county,precinct,office,district,party,candidate,votes,early,poll
Clallam,Port Angeles No. 1,,,,Registration,538,,
Clallam,Port Angeles No. 2,,,,Registration,370,,
Clallam,Port Angeles No. 3,,,,Registration,424,,
Clallam,Port Angeles No. 4,,,,Registration,386,,
Clallam,Port Angeles No. 5,,,,Registration,331,,
Clallam,Port Angeles No. 6,,,,Registration,323,,
Clallam,Port Angeles No. 7,,,,Registration,331,,
Clallam,Port Angeles No. 8,,,,Registration,238,,
Clallam,Port Angeles No. 9,,,,Registration,481,,
Clallam,Port Angeles No. 10,,,,Registration,438,,
Clallam,Port Angeles No. 11,,,,Registration,323,,
Clallam,Port Angeles No. 12,,,,Registration,254,,
Clallam,Port Angeles No. 13,,,,Registration,604,,
Clallam,Port Angeles No. 14,,,,Registration,422,,
Clallam,Port Angeles No. 15,,,,Registration,412,,
Clallam,Port Angeles No. 16,,,,Registration,402,,
Clallam,Port Angeles No. 17,,,,Registration,609,,
Clallam,Port Angeles No. 18,,,,Registration,420,,
Clallam,Port Angeles No. 19,,,,Registration,563,,
Clallam,Port Angeles No. 20,,,,Registration,609,,
Clallam,Port Angeles No. 21,,,,Registration,578,,
Clallam,Port Angeles No. 22,,,,Registration,782,,
Clallam,Port Angeles No. 23,,,,Registration,386,,
Clallam,Port Angeles No. 24,,,,Registration,425,,
Clallam,Forks No. 1,,,,Registration,562,,
Clallam,Forks No. 2,,,,Registration,231,,
Clallam,Forks No. 3,,,,Registration,222,,
Clallam,Forks No. 4,,,,Registration,434,,
Clallam,Sequim No. 1,,,,Registration,877,,
Clallam,Sequim No. 2,,,,Registration,373,,
Clallam,Sequim No. 3,,,,Registration,903,,
Clallam,Sequim No. 4,,,,Registration,701,,
Clallam,Agnew,,,,Registration,503,,
Clallam,Beaver,,,,Registration,591,,
Clallam,Black Diamond,,,,Registration,744,,
Clallam,Blue Mountain,,,,Registration,336,,
Clallam,Blyn,,,,Registration,736,,
Clallam,Bogachiel,,,,Registration,367,,
Clallam,Carlsborg,,,,Registration,621,,
Clallam,Clallam Bay,,,,Registration,264,,
Clallam,Clark,,,,Registration,862,,
Clallam,Cline,,,,Registration,598,,
Clallam,Diamond Point,,,,Registration,532,,
Clallam,Eagle,,,,Registration,466,,
Clallam,East Dungeness,,,,Registration,696,,
Clallam,East Fairview,,,,Registration,925,,
Clallam,Eden,,,,Registration,946,,
Clallam,Edgewood,,,,Registration,763,,
Clallam,Elwha,,,,Registration,211,,
Clallam,Greywolf,,,,Registration,536,,
Clallam,Happy Valley,,,,Registration,889,,
Clallam,Hoko,,,,Registration,72,,
Clallam,Jamestown,,,,Registration,468,,
Clallam,Joyce,,,,Registration,887,,
Clallam,Klahhane,,,,Registration,466,,
Clallam,Lost Mountain,,,,Registration,385,,
Clallam,Macleay,,,,Registration,626,,
Clallam,Monterra,,,,Registration,677,,
Clallam,Mount Angeles,,,,Registration,406,,
Clallam,Mount Pleasant,,,,Registration,627,,
Clallam,Neah Bay,,,,Registration,586,,
Clallam,North Belleview,,,,Registration,425,,
Clallam,North Prairie,,,,Registration,896,,
Clallam,Olympic,,,,Registration,513,,
Clallam,Parkwood,,,,Registration,348,,
Clallam,Piedmont vbm,,,,Registration,81,,
Clallam,Port Williams,,,,Registration,470,,
Clallam,Quileute,,,,Registration,365,,
Clallam,Riverside,,,,Registration,356,,
Clallam,Sekiu,,,,Registration,257,,
Clallam,South Belleview,,,,Registration,498,,
Clallam,South Prairie,,,,Registration,813,,
Clallam,Sun,,,,Registration,379,,
Clallam,Sunland North,,,,Registration,545,,
Clallam,Sunland South,,,,Registration,488,,
Clallam,West Dungeness,,,,Registration,1060,,
Clallam,West Fairview,,,,Registration,1053,,
Clallam,,,,,Registration,40285,,
Clallam,Port Angeles No. 1,,,,Ballots Cast,460,,
Clallam,Port Angeles No. 2,,,,Ballots Cast,272,,
Clallam,Port Angeles No. 3,,,,Ballots Cast,353,,
Clallam,Port Angeles No. 4,,,,Ballots Cast,319,,
Clallam,Port Angeles No. 5,,,,Ballots Cast,256,,
Clallam,Port Angeles No. 6,,,,Ballots Cast,265,,
Clallam,Port Angeles No. 7,,,,Ballots Cast,279,,
Clallam,Port Angeles No. 8,,,,Ballots Cast,212,,
Clallam,Port Angeles No. 9,,,,Ballots Cast,371,,
