county,precinct,office,district,party,candidate,votes,absentee,election_day
Mason,101 Airport,,,,Registration,827,,
Mason,102 Allyn,,,,Registration,703,,
Mason,103 Arcadia,,,,Registration,401,,
Mason,307 Bayshore,,,,Registration,676,,
Mason,104 Belfair 1,,,,Registration,1024,,
Mason,105 Belfair 2,,,,Registration,599,,
Mason,106 Belfair 3,,,,Registration,627,,
Mason,107 Belfair 4,,,,Registration,997,,
Mason,301 Belfair 5,,,,Registration,423,,
Mason,308 Belfair 6,,,,Registration,526,,
Mason,108 Capitol Hill,,,,Registration,533,,
Mason,109 Cloquallum,,,,Registration,470,,
Mason,305 Cushman,,,,Registration,794,,
Mason,110 Dayton,,,,Registration,472,,
Mason,302 Dewatto,,,,Registration,635,,
Mason,111 Eells,,,,Registration,312,,
Mason,112 Grapeview,,,,Registration,962,,
Mason,113 Harstene,,,,Registration,849,,
Mason,114 Hoodsport,,,,Registration,374,,
Mason,115 Isabella,,,,Registration,548,,
Mason,116 Kamilche,,,,Registration,884,,
Mason,117 Kamilche 2,,,,Registration,943,,
Mason,118 Lake,,,,Registration,697,,
Mason,309 Lakeland,,,,Registration,563,,
Mason,119 Lilliwaup,,,,Registration,460,,
Mason,120 Matlock,,,,Registration,313,,
Mason,121 Mill Creek,,,,Registration,510,,
Mason,122 Miller,,,,Registration,753,,
Mason,123 Mt View,,,,Registration,406,,
Mason,124 Northside,,,,Registration,867,,
Mason,303 Oakland,,,,Registration,248,,
Mason,125 Pickering,,,,Registration,1012,,
Mason,126 Potlatch,,,,Registration,51,,
Mason,127 Satsop,,,,Registration,240,,
Mason,128 Skokomish,,,,Registration,291,,
Mason,304 Southside,,,,Registration,856,,
Mason,129 Tahuya,,,,Registration,561,,
Mason,306 Timberlake,,,,Registration,756,,
Mason,130 Union,,,,Registration,1047,,
Mason,131 Victor,,,,Registration,370,,
Mason,132 Westside,,,,Registration,258,,
Mason,201 Shelton 1,,,,Registration,94,,
Mason,202 Shelton 2,,,,Registration,128,,
Mason,203 Shelton 3,,,,Registration,257,,
Mason,204 Shelton 4,,,,Registration,195,,
Mason,205 Shelton 5,,,,Registration,326,,
Mason,206 Shelton 6,,,,Registration,129,,
Mason,207 Shelton 7,,,,Registration,313,,
Mason,208 Shelton 8,,,,Registration,204,,
Mason,209 Shelton 9,,,,Registration,135,,
Mason,210 Shelton 10,,,,Registration,184,,
Mason,211 Shelton 11,,,,Registration,256,,
Mason,212 Shelton 12,,,,Registration,133,,
Mason,213 Shelton 13,,,,Registration,408,,
Mason,214 Shelton 14,,,,Registration,244,,
Mason,215 Shelton 15,,,,Registration,141,,
Mason,216 Shelton 16,,,,Registration,789,,
Mason,101 Airport,,,,Ballots,688,329,359
Mason,102 Allyn,,,,Ballots,584,409,175
Mason,103 Arcadia,,,,Ballots,340,201,139
Mason,307 Bayshore,,,,Ballots,472,253,219
Mason,104 Belfair 1,,,,Ballots,847,508,339
Mason,105 Belfair 2,,,,Ballots,471,255,216
Mason,106 Belfair 3,,,,Ballots,482,269,213
Mason,107 Belfair 4,,,,Ballots,796,421,375
Mason,301 Belfair 5,,,,Ballots,330,140,190
Mason,308 Belfair 6,,,,Ballots,356,193,163
Mason,108 Capitol Hill,,,,Ballots,412,226,186
Mason,109 Cloquallum,,,,Ballots,364,184,180
Mason,305 Cushman,,,,Ballots,673,437,236
Mason,110 Dayton,,,,Ballots,371,139,232
Mason,302 Dewatto,,,,Ballots,509,371,138
Mason,111 Eells,,,,Ballots,242,111,131
Mason,112 Grapeview,,,,Ballots,809,427,382
Mason,113 Harstene,,,,Ballots,716,375,341
Mason,114 Hoodsport,,,,Ballots,323,189,134
Mason,115 Isabella,,,,Ballots,427,250,177
Mason,116 Kamilche,,,,Ballots,685,364,321
Mason,117 Kamilche 2,,,,Ballots,813,467,346
Mason,118 Lake,,,,Ballots,583,395,188
Mason,309 Lakeland,,,,Ballots,456,247,209
Mason,119 Lilliwaup,,,,Ballots,404,267,137
Mason,120 Matlock,,,,Ballots,243,95,148
Mason,121 Mill Creek,,,,Ballots,397,199,198
Mason,122 Miller,,,,Ballots,585,319,266
Mason,123 Mt View,,,,Ballots,318,129,189
Mason,124 Northside,,,,Ballots,697,411,286
Mason,303 Oakland,,,,Ballots,198,102,96
Mason,125 Pickering,,,,Ballots,796,479,317
