firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Anne L.,Ellington,Anne L. Ellington,NP,NP,Court of Appeals Division I District #1,Position #2,,county,King,194001
Anne L.,Ellington,Anne L. Ellington,NP,NP,Court of Appeals Division I District #1,Position #2,,state,Washington,194001
